Price,Change,Volume,Time
80.51,0.00%,0,1425994231350
79.25,-1.57%,137756,1425994291986
79.30,-1.50%,160393,1425994352532
79.48,-1.28%,187445,1425994413077
79.53,-1.22%,199429,1425994473751
79.54,-1.20%,209280,1425994534449
79.65,-1.07%,235193,1425994595602
79.62,-1.11%,248446,1425994656147
79.65,-1.07%,290282,1425994716685
79.65,-1.07%,301897,1425994777353
79.65,-1.07%,336888,1425994838033
79.71,-0.99%,369055,1425994898577
79.71,-0.99%,379046,1425994959131
79.66,-1.06%,394948,1425995019675
79.67,-1.04%,409058,1425995080379
79.65,-1.07%,436593,1425995141051
79.65,-1.07%,454062,1425995201602
79.67,-1.04%,475470,1425995262148
79.67,-1.04%,508577,1425995322683
79.65,-1.07%,530263,1425995383369
79.51,-1.24%,551191,1425995444047
79.43,-1.34%,580491,1425995504595
79.38,-1.40%,601802,1425995565135
79.40,-1.38%,624717,1425995625681
79.25,-1.57%,689518,1425995686263
79.24,-1.58%,749274,1425995746931
79.25,-1.56%,806014,1425995807477
79.26,-1.55%,825450,1425995868019
79.28,-1.53%,864288,1425995928579
79.32,-1.48%,885440,1425995989124
79.29,-1.52%,899297,1425996049801
79.37,-1.42%,911668,1425996110351
79.38,-1.40%,922136,1425996170890
79.36,-1.42%,933175,1425996231435
79.36,-1.43%,942274,1425996291972
79.36,-1.43%,961871,1425996352662
79.34,-1.45%,983475,1425996413205
79.24,-1.58%,1003695,1425996473744
79.27,-1.54%,1010513,1425996534284
79.24,-1.58%,1015935,1425996594952
79.23,-1.59%,1022975,1425996655628
79.14,-1.70%,1067972,1425996716175
79.16,-1.68%,1085494,1425996776724
79.14,-1.70%,1096595,1425996837268
79.12,-1.73%,1105164,1425996897954
79.08,-1.78%,1127128,1425996958822
79.06,-1.80%,1156616,1425997019367
79.05,-1.81%,1182391,1425997079910
79.14,-1.70%,1211350,1425997140465
79.14,-1.70%,1224599,1425997201137
79.20,-1.63%,1238082,1425997261822
79.26,-1.55%,1244871,1425997322365
79.25,-1.57%,1252166,1425997382911
79.22,-1.60%,1268899,1425997443456
79.21,-1.61%,1281754,1425997504123
79.17,-1.66%,1291206,1425997564814
79.14,-1.70%,1300449,1425997625356
79.06,-1.80%,1316152,1425997685905
79.08,-1.78%,1330726,1425997746456
79.05,-1.81%,1351440,1425997807124
78.91,-1.99%,1448653,1425997867808
78.95,-1.94%,1477300,1425997928348
78.92,-1.97%,1527846,1425997988892
78.93,-1.97%,1597131,1425998049443
78.97,-1.91%,1643588,1425998110134
78.99,-1.89%,1692231,1425998170815
78.93,-1.96%,1720185,1425998231350
78.99,-1.89%,1770864,1425998291901
78.97,-1.91%,1809477,1425998352440
78.97,-1.91%,1828367,1425998413126
79.03,-1.84%,1842583,1425998473793
78.98,-1.90%,1859394,1425998534348
78.98,-1.90%,1866074,1425998594884
