Price,Change,Volume,Time
79.98,-1.03%,25661,1425994231352
79.75,-1.31%,165019,1425994291987
79.95,-1.07%,188602,1425994352533
80.09,-0.89%,213714,1425994413078
79.98,-1.03%,224663,1425994473752
80.20,-0.75%,265625,1425994534450
80.23,-0.72%,310686,1425994595603
80.46,-0.43%,326882,1425994656148
80.49,-0.39%,339939,1425994716686
80.41,-0.49%,354282,1425994777353
80.40,-0.51%,375235,1425994838033
80.48,-0.41%,395565,1425994898577
80.49,-0.40%,410050,1425994959131
80.58,-0.28%,450576,1425995019676
80.50,-0.38%,472610,1425995080379
80.45,-0.45%,500155,1425995141051
80.46,-0.43%,542349,1425995201602
80.49,-0.40%,552221,1425995262149
80.35,-0.57%,565031,1425995322684
80.48,-0.41%,569514,1425995383369
80.36,-0.55%,577312,1425995444047
80.32,-0.61%,595843,1425995504596
80.39,-0.52%,610707,1425995565135
80.45,-0.45%,619968,1425995625682
80.45,-0.45%,630182,1425995686264
80.45,-0.45%,647620,1425995746931
80.47,-0.42%,660487,1425995807478
80.43,-0.47%,664886,1425995868020
80.46,-0.43%,676099,1425995928580
80.44,-0.46%,688453,1425995989125
80.40,-0.51%,695938,1425996049802
80.45,-0.45%,701419,1425996110351
80.48,-0.41%,709712,1425996170890
80.43,-0.47%,717786,1425996231435
80.45,-0.45%,723898,1425996291972
80.48,-0.41%,730863,1425996352662
80.48,-0.41%,745174,1425996413205
80.45,-0.45%,761245,1425996473745
80.48,-0.41%,774299,1425996534285
80.47,-0.42%,798585,1425996594952
80.47,-0.42%,802437,1425996655629
80.40,-0.51%,828961,1425996716176
80.43,-0.47%,833748,1425996776724
80.34,-0.58%,842275,1425996837268
80.34,-0.58%,864517,1425996897955
80.21,-0.74%,876812,1425996958822
80.18,-0.78%,894845,1425997019368
80.25,-0.69%,899586,1425997079911
80.29,-0.64%,902899,1425997140465
80.29,-0.64%,906707,1425997201138
80.37,-0.54%,915988,1425997261822
80.43,-0.47%,924015,1425997322365
80.46,-0.43%,930888,1425997382911
80.39,-0.52%,939220,1425997443456
80.39,-0.52%,941503,1425997504123
80.39,-0.52%,949274,1425997564814
80.33,-0.59%,955253,1425997625357
80.25,-0.69%,969353,1425997685906
80.28,-0.66%,975757,1425997746456
80.36,-0.56%,984104,1425997807124
80.32,-0.61%,991481,1425997867808
80.30,-0.63%,994504,1425997928348
80.34,-0.58%,1001340,1425997988892
80.36,-0.56%,1005729,1425998049443
80.36,-0.56%,1010332,1425998110135
80.39,-0.52%,1020548,1425998170815
80.39,-0.52%,1042989,1425998231350
80.41,-0.49%,1051455,1425998291902
80.34,-0.59%,1059902,1425998352441
80.37,-0.54%,1065164,1425998413127
80.42,-0.48%,1076810,1425998473794
80.47,-0.42%,1095009,1425998534349
80.41,-0.49%,1100533,1425998594884
80.43,-0.47%,1104691,1425998655434
80.48,-0.41%,1120707,1425998716103
80.47,-0.42%,1129426,1425998776794
80.39,-0.52%,1147875,1425998837341
80.40,-0.51%,1166494,1425998897890
80.40,-0.51%,1171962,1425998958438
80.39,-0.52%,1190722,1425999019116
80.40,-0.51%,1199568,1425999079791
80.40,-0.51%,1209971,1425999140345
80.40,-0.51%,1226397,1425999200887
80.42,-0.48%,1233803,1425999261439
80.44,-0.46%,1241478,1425999322133
80.50,-0.38%,1252555,1425999382799
80.49,-0.40%,1257543,1425999443346
80.47,-0.41%,1260668,1425999503899
80.48,-0.41%,1263785,1425999564445
80.47,-0.42%,1274488,1425999625132
80.45,-0.45%,1280724,1425999685803
80.50,-0.38%,1297505,1425999746346
80.50,-0.38%,1309101,1425999806898
80.51,-0.37%,1315655,1425999867440
80.50,-0.38%,1325597,1425999928119
80.52,-0.36%,1348595,1425999988797
80.51,-0.37%,1360820,1426000049338
80.51,-0.37%,1373106,1426000109876
80.50,-0.38%,1391493,1426000170423
80.49,-0.40%,1403192,1426000231182
80.49,-0.40%,1409017,1426000291849
80.48,-0.41%,1422193,1426000352400
80.50,-0.38%,1431186,1426000412945
80.51,-0.37%,1442644,1426000473492
80.50,-0.38%,1464135,1426000534166
80.46,-0.43%,1474178,1426000594845
80.51,-0.37%,1490914,1426000655390
80.49,-0.40%,1494152,1426000715948
80.50,-0.38%,1503582,1426000776487
80.58,-0.28%,1523206,1426000837163
80.60,-0.26%,1535966,1426000897851
80.65,-0.20%,1544874,1426000958403
80.66,-0.19%,1550399,1426001018943
80.76,-0.06%,1570399,1426001079488
80.72,-0.11%,1579570,1426001140169
80.65,-0.19%,1601249,1426001200862
80.66,-0.19%,1607136,1426001261449
80.69,-0.15%,1610622,1426001321997
80.67,-0.17%,1618484,1426001382549
80.68,-0.16%,1625148,1426001443219
80.67,-0.17%,1628782,1426001503909
80.63,-0.22%,1634867,1426001564454
80.63,-0.22%,1640548,1426001624990
80.61,-0.25%,1646279,1426001685532
80.60,-0.26%,1649949,1426001746198
80.60,-0.26%,1653771,1426001806877
80.58,-0.28%,1693024,1426001867417
80.55,-0.32%,1698109,1426001927951
80.54,-0.33%,1703764,1426001988505
80.52,-0.36%,1711645,1426002049183
80.54,-0.33%,1713952,1426002109851
80.55,-0.32%,1720503,1426002170394
80.48,-0.41%,1725257,1426002230949
80.48,-0.41%,1733983,1426002291489
80.44,-0.46%,1745751,1426002352171
80.42,-0.48%,1757912,1426002412850
80.44,-0.46%,1759087,1426002473393
80.36,-0.56%,1799518,1426002533933
80.38,-0.53%,1804232,1426002594476
80.34,-0.58%,1808691,1426002655148
80.34,-0.58%,1811626,1426002715829
80.31,-0.62%,1815784,1426002776365
80.33,-0.59%,1822032,1426002836911
80.30,-0.63%,1837188,1426002897456
80.33,-0.59%,1842851,1426002958154
80.30,-0.63%,1850678,1426003018847
80.25,-0.69%,1864678,1426003079392
80.27,-0.67%,1867263,1426003139939
80.16,-0.80%,1880959,1426003200479
80.16,-0.80%,1891283,1426003261059
80.15,-0.82%,1997437,1426003321749
80.10,-0.88%,2008252,1426003382288
80.12,-0.85%,2013773,1426003442828
80.12,-0.85%,2021690,1426003503385
80.15,-0.82%,2031330,1426003564056
80.14,-0.83%,2049837,1426003624759
80.15,-0.82%,2051620,1426003685302
80.21,-0.74%,2071397,1426003745851
80.20,-0.75%,2078853,1426003806394
80.21,-0.74%,2082534,1426003867075
80.26,-0.68%,2090036,1426003927749
80.31,-0.62%,2096977,1426003988302
80.30,-0.63%,2100494,1426004048845
80.35,-0.57%,2104061,1426004109394
80.32,-0.61%,2108297,1426004170074
80.31,-0.62%,2115913,1426004230746
80.28,-0.66%,2122272,1426004291365
80.32,-0.61%,2130603,1426004351928
80.35,-0.57%,2134843,1426004412464
80.33,-0.59%,2142442,1426004473145
80.28,-0.66%,2146937,1426004533815
80.28,-0.66%,2157402,1426004594377
80.24,-0.71%,2164349,1426004654922
80.21,-0.74%,2170523,1426004715456
80.20,-0.75%,2175233,1426004776134
80.23,-0.72%,2179017,1426004836825
80.21,-0.74%,2184318,1426004897392
80.21,-0.74%,2199112,1426004957934
80.17,-0.79%,2204050,1426005018477
80.18,-0.78%,2215951,1426005079143
80.19,-0.77%,2219194,1426005139825
80.20,-0.75%,2222161,1426005200365
80.17,-0.79%,2226731,1426005260916
80.21,-0.74%,2232256,1426005321460
80.22,-0.72%,2239629,1426005382138
80.23,-0.72%,2242412,1426005442829
80.23,-0.72%,2248490,1426005503378
80.26,-0.68%,2252513,1426005563919
80.27,-0.67%,2256535,1426005624473
80.29,-0.64%,2260886,1426005685154
80.28,-0.66%,2265083,1426005745829
80.32,-0.61%,2272451,1426005806377
80.30,-0.63%,2280548,1426005866917
80.27,-0.67%,2286183,1426005927473
80.27,-0.67%,2291309,1426005988150
80.29,-0.64%,2296515,1426006048821
80.28,-0.66%,2298176,1426006109370
80.27,-0.67%,2307159,1426006169918
80.28,-0.66%,2309460,1426006230457
80.24,-0.71%,2312816,1426006291162
80.23,-0.72%,2315581,1426006351867
80.26,-0.68%,2321228,1426006412400
80.29,-0.64%,2326193,1426006472941
80.27,-0.67%,2332209,1426006533488
80.26,-0.68%,2334650,1426006594173
80.25,-0.69%,2337967,1426006654854
80.27,-0.67%,2343688,1426006715387
80.26,-0.68%,2345213,1426006775934
80.24,-0.71%,2350974,1426006836489
80.19,-0.77%,2355265,1426006897155
80.23,-0.72%,2358057,1426006957839
80.22,-0.73%,2361088,1426007018403
80.23,-0.72%,2364282,1426007078951
80.26,-0.68%,2371188,1426007139514
80.33,-0.59%,2374117,1426007200191
80.32,-0.61%,2384874,1426007260882
80.31,-0.62%,2391648,1426007321441
80.30,-0.63%,2398907,1426007381985
80.26,-0.68%,2402490,1426007442527
80.25,-0.69%,2406463,1426007503206
80.23,-0.72%,2414855,1426007563872
80.26,-0.68%,2419473,1426007624419
80.22,-0.72%,2423512,1426007684964
80.22,-0.72%,2425072,1426007745517
80.22,-0.73%,2430356,1426007806188
80.28,-0.66%,2436073,1426007866857
80.25,-0.69%,2439493,1426007927422
80.28,-0.66%,2442494,1426007987964
80.30,-0.63%,2444331,1426008048507
80.43,-0.47%,2453469,1426008109186
80.36,-0.56%,2458772,1426008169874
80.32,-0.61%,2461155,1426008230411
80.36,-0.56%,2463455,1426008290956
80.34,-0.58%,2467567,1426008351611
80.35,-0.57%,2469922,1426008412285
80.35,-0.57%,2472774,1426008472965
80.34,-0.58%,2476105,1426008533509
80.30,-0.63%,2480984,1426008594061
80.27,-0.67%,2487201,1426008654601
80.28,-0.66%,2488825,1426008715269
80.27,-0.67%,2501990,1426008775959
80.29,-0.64%,2504992,1426008836518
80.28,-0.66%,2507956,1426008897065
80.27,-0.67%,2517666,1426008957620
80.30,-0.63%,2520223,1426009018287
80.31,-0.62%,2525312,1426009078957
80.32,-0.61%,2531326,1426009139498
80.30,-0.63%,2535670,1426009200047
80.29,-0.64%,2545032,1426009260591
80.29,-0.64%,2552176,1426009321274
80.28,-0.66%,2559576,1426009381947
80.26,-0.68%,2562971,1426009442493
80.26,-0.68%,2567215,1426009503039
80.26,-0.68%,2570066,1426009563585
80.28,-0.66%,2578615,1426009624260
80.36,-0.56%,2590272,1426009684940
80.32,-0.60%,2593637,1426009745486
80.29,-0.64%,2599041,1426009806029
80.27,-0.67%,2603952,1426009866579
80.28,-0.66%,2606989,1426009927270
80.28,-0.66%,2615741,1426009988029
80.28,-0.66%,2621541,1426010048564
80.24,-0.70%,2624546,1426010109111
80.24,-0.71%,2632088,1426010169646
80.20,-0.75%,2642298,1426010230321
80.22,-0.73%,2645211,1426010291001
80.21,-0.74%,2648204,1426010351549
80.20,-0.76%,2653798,1426010412091
80.19,-0.77%,2661576,1426010472642
80.19,-0.77%,2666000,1426010533319
80.22,-0.73%,2673424,1426010594013
80.24,-0.71%,2677398,1426010654558
80.19,-0.77%,2681313,1426010715101
80.28,-0.66%,2686597,1426010775634
80.22,-0.73%,2691344,1426010836314
80.26,-0.68%,2695425,1426010896995
80.30,-0.63%,2699783,1426010957545
80.28,-0.65%,2704935,1426011018094
80.27,-0.67%,2710064,1426011078641
80.27,-0.67%,2712875,1426011139320
80.21,-0.74%,2717167,1426011199992
80.16,-0.80%,2727557,1426011260540
80.16,-0.80%,2737085,1426011321083
80.17,-0.79%,2769593,1426011381629
80.14,-0.83%,2777486,1426011442292
80.17,-0.79%,2783996,1426011502971
80.13,-0.84%,2797843,1426011563511
80.13,-0.84%,2803259,1426011624055
80.10,-0.88%,2815005,1426011684597
80.11,-0.87%,2820603,1426011745281
80.11,-0.87%,2827066,1426011805950
80.11,-0.87%,2834358,1426011866498
80.10,-0.88%,2837389,1426011927036
80.09,-0.89%,2844577,1426011987584
80.11,-0.87%,2848490,1426012048273
80.11,-0.87%,2852122,1426012108950
80.08,-0.90%,2857109,1426012169494
80.08,-0.90%,2876404,1426012230049
80.05,-0.94%,2906067,1426012290592
80.01,-0.99%,2970689,1426012351289
80.05,-0.94%,2982193,1426012411981
80.03,-0.96%,2989576,1426012472517
80.04,-0.95%,3000243,1426012533064
80.02,-0.98%,3004752,1426012593606
79.99,-1.01%,3010305,1426012654274
80.01,-1.00%,3014504,1426012714951
80.01,-0.99%,3018808,1426012775491
79.97,-1.04%,3028525,1426012836028
79.99,-1.01%,3043740,1426012896569
79.99,-1.01%,3051300,1426012957258
80.01,-0.99%,3056261,1426013017943
80.02,-0.98%,3060061,1426013078484
80.06,-0.93%,3063702,1426013139032
80.09,-0.89%,3072288,1426013199575
80.10,-0.88%,3077832,1426013260249
80.13,-0.84%,3085375,1426013320923
80.08,-0.90%,3121815,1426013381465
80.07,-0.92%,3128182,1426013442004
80.11,-0.87%,3132173,1426013502567
80.11,-0.87%,3135336,1426013563247
80.10,-0.88%,3138547,1426013623928
80.08,-0.90%,3139618,1426013684464
80.01,-0.98%,3155069,1426013745010
80.04,-0.95%,3158507,1426013805556
80.05,-0.94%,3168128,1426013866227
80.03,-0.97%,3179469,1426013928192
80.04,-0.95%,3184373,1426013988735
80.01,-0.99%,3192399,1426014049417
80.06,-0.93%,3198963,1426014109965
80.06,-0.93%,3205393,1426014170646
80.07,-0.91%,3220048,1426014231184
80.09,-0.89%,3231850,1426014291728
80.08,-0.90%,3242517,1426014352419
80.07,-0.92%,3249186,1426014412983
80.09,-0.89%,3258047,1426014473651
80.13,-0.84%,3268075,1426014534198
80.17,-0.79%,3294794,1426014594741
80.16,-0.80%,3304904,1426014655415
80.14,-0.83%,3316857,1426014715956
80.12,-0.86%,3323015,1426014776632
80.10,-0.88%,3329894,1426014837178
80.10,-0.88%,3336526,1426014897737
80.09,-0.89%,3342181,1426014958425
80.08,-0.90%,3350193,1426015018973
80.12,-0.85%,3361706,1426015080652
80.16,-0.80%,3372990,1426015141196
80.13,-0.84%,3378711,1426015201748
80.13,-0.85%,3385234,1426015262425
80.13,-0.84%,3393728,1426015322980
80.11,-0.87%,3406454,1426015383650
80.13,-0.84%,3416819,1426015444192
80.17,-0.79%,3428247,1426015504735
80.15,-0.82%,3434877,1426015565419
80.12,-0.85%,3440580,1426015625959
80.07,-0.91%,3449697,1426015686649
80.07,-0.92%,3465175,1426015747197
80.04,-0.95%,3491194,1426015807740
80.04,-0.95%,3504749,1426015868431
80.04,-0.95%,3524144,1426015928980
80.02,-0.98%,3534072,1426015989651
80.03,-0.97%,3543707,1426016050204
80.05,-0.94%,3555236,1426016110744
80.05,-0.94%,3565171,1426016171440
80.03,-0.97%,3574198,1426016231985
80.05,-0.94%,3589685,1426016292655
80.04,-0.95%,3598982,1426016353205
80.05,-0.94%,3612387,1426016413751
80.04,-0.95%,3628357,1426016474420
80.10,-0.88%,3648626,1426016534970
80.05,-0.94%,3663602,1426016595673
80.07,-0.92%,3677981,1426016656218
80.06,-0.93%,3702089,1426016716766
80.06,-0.93%,3712673,1426016777453
80.03,-0.97%,3733635,1426016838000
80.06,-0.93%,3756274,1426016898695
80.14,-0.83%,3781436,1426016959245
80.08,-0.90%,3804253,1426017019788
80.04,-0.95%,3823064,1426017080465
80.02,-0.98%,3860282,1426017141006
80.03,-0.97%,3880261,1426017201677
80.06,-0.93%,3910074,1426017262216
80.04,-0.95%,3949066,1426017322751
80.02,-0.98%,4007794,1426017383430
80.02,-0.98%,4060466,1426017443973
80.04,-0.95%,4103273,1426017504651
80.02,-0.98%,4155315,1426017565199
Price,Change,Volume,Time
81.86,0.0083,290422,1427118322161
Price,Change,Volume,Time
81.41,0.0027,374854,1427118725659
Price,Change,Volume,Time
81.5,0.0038,1103928,1427123968813
