Price,Change,Volume,Time
29.10,-0.89%,366871,1425994231353
29.02,-1.16%,454512,1425994291987
29.02,-1.16%,583506,1425994352533
28.99,-1.26%,711612,1425994413078
28.94,-1.43%,814418,1425994473752
29.01,-1.18%,887911,1425994534450
29.02,-1.16%,1030553,1425994595603
28.95,-1.40%,1122937,1425994656148
29.02,-1.16%,1308514,1425994716686
28.99,-1.26%,1372035,1425994777354
28.97,-1.32%,1435150,1425994838033
28.98,-1.31%,1531214,1425994898578
28.95,-1.40%,1598942,1425994959131
28.92,-1.50%,1679816,1425995019676
28.96,-1.35%,1750292,1425995080379
28.90,-1.57%,1785734,1425995141051
28.92,-1.50%,1877794,1425995201602
28.94,-1.45%,1901860,1425995262149
28.92,-1.50%,1969887,1425995322684
28.92,-1.52%,2006118,1425995383369
28.86,-1.70%,2071051,1425995444048
28.87,-1.67%,2107086,1425995504596
28.90,-1.57%,2139569,1425995565135
28.92,-1.52%,2169413,1425995625682
28.92,-1.52%,2264043,1425995686264
28.90,-1.58%,2361728,1425995746932
28.90,-1.57%,2409829,1425995807478
28.90,-1.58%,2449503,1425995868020
28.85,-1.74%,2526016,1425995928580
28.83,-1.81%,2595113,1425995989125
28.84,-1.77%,2664750,1425996049802
28.83,-1.82%,2758189,1425996110351
28.79,-1.94%,2881322,1425996170890
28.82,-1.84%,2993986,1425996231435
28.82,-1.84%,3043613,1425996291972
28.82,-1.84%,3257487,1425996352662
28.83,-1.81%,3340347,1425996413205
28.82,-1.84%,3405306,1425996473745
28.84,-1.77%,3467535,1425996534285
28.84,-1.77%,3539412,1425996594953
28.84,-1.77%,3555956,1425996655629
28.82,-1.84%,3644787,1425996716176
28.86,-1.70%,3667847,1425996776724
28.85,-1.74%,3753813,1425996837268
28.86,-1.70%,3912900,1425996897955
28.85,-1.72%,4000398,1425996958823
28.85,-1.75%,4054793,1425997019368
28.88,-1.63%,4078085,1425997079911
28.88,-1.62%,4109394,1425997140465
28.90,-1.58%,4135618,1425997201138
28.92,-1.52%,4315164,1425997261822
28.95,-1.40%,4429203,1425997322365
28.93,-1.46%,4521711,1425997382911
28.97,-1.33%,4670989,1425997443457
28.95,-1.40%,4816516,1425997504123
28.98,-1.29%,4900928,1425997564814
28.97,-1.33%,4969074,1425997625357
28.91,-1.53%,5124484,1425997685906
28.94,-1.41%,5179229,1425997746456
28.94,-1.43%,5214813,1425997807124
28.90,-1.57%,5230362,1425997867808
28.89,-1.62%,5318161,1425997928348
28.89,-1.61%,5365020,1425997988893
28.88,-1.65%,5404350,1425998049443
