Price,Change,Volume,Time
103.48,-0.45%,45899,1425994231353
103.79,-0.15%,432406,1425994291987
103.90,-0.04%,492576,1425994352533
104.21,0.25%,549395,1425994413078
104.10,0.14%,584934,1425994473752
104.08,0.13%,614289,1425994534450
104.23,0.27%,650882,1425994595603
104.15,0.19%,665395,1425994656148
104.14,0.18%,737733,1425994716686
104.03,0.07%,767649,1425994777354
104.03,0.08%,806076,1425994838034
104.13,0.18%,838236,1425994898578
104.15,0.19%,861449,1425994959132
104.09,0.13%,896272,1425995019676
104.09,0.13%,923809,1425995080380
103.95,0.00%,944890,1425995141052
103.96,0.01%,972870,1425995201602
103.97,0.02%,982636,1425995262149
104.00,0.05%,1020882,1425995322684
104.00,0.05%,1035815,1425995383370
103.90,-0.05%,1064996,1425995444048
103.90,-0.05%,1100967,1425995504596
104.00,0.05%,1127304,1425995565135
103.96,0.01%,1142700,1425995625682
104.03,0.08%,1169087,1425995686264
104.11,0.15%,1203932,1425995746932
104.23,0.27%,1226204,1425995807478
103.97,0.02%,1278115,1425995868020
103.85,-0.10%,1339048,1425995928580
103.72,-0.22%,1368653,1425995989125
103.82,-0.13%,1416795,1425996049802
103.90,-0.05%,1452609,1425996110352
103.92,-0.03%,1484115,1425996170890
103.84,-0.11%,1527542,1425996231435
103.79,-0.15%,1539241,1425996291973
103.73,-0.21%,1561705,1425996352662
103.52,-0.41%,1609508,1425996413206
103.45,-0.48%,1651530,1425996473745
103.24,-0.68%,1708307,1425996534285
103.23,-0.69%,1728689,1425996594953
103.06,-0.86%,1791466,1425996655629
102.98,-0.93%,1904574,1425996716176
103.00,-0.91%,1922456,1425996776724
102.90,-1.01%,1949447,1425996837268
102.77,-1.14%,1991485,1425996897955
102.75,-1.15%,2021249,1425996958823
102.75,-1.15%,2054443,1425997019368
102.72,-1.18%,2081606,1425997079911
102.87,-1.04%,2111348,1425997140465
102.85,-1.06%,2124520,1425997201138
102.85,-1.06%,2140390,1425997261822
102.96,-0.95%,2187240,1425997322365
102.90,-1.01%,2219211,1425997382911
102.77,-1.14%,2233811,1425997443457
102.76,-1.15%,2254391,1425997504123
102.67,-1.23%,2278323,1425997564814
102.66,-1.24%,2301392,1425997625357
102.52,-1.37%,2332472,1425997685906
102.59,-1.31%,2352656,1425997746456
102.60,-1.30%,2380074,1425997807124
102.46,-1.43%,2430278,1425997867809
102.50,-1.39%,2452135,1425997928348
102.53,-1.37%,2478398,1425997988893
102.52,-1.38%,2494006,1425998049443
102.62,-1.28%,2507723,1425998110135
102.70,-1.20%,2532757,1425998170816
102.61,-1.29%,2550405,1425998231350
102.58,-1.32%,2560057,1425998291902
102.57,-1.33%,2593937,1425998352441
102.69,-1.21%,2610973,1425998413127
102.83,-1.08%,2631119,1425998473794
102.88,-1.03%,2653092,1425998534349
102.74,-1.16%,2663458,1425998594885
102.73,-1.17%,2678670,1425998655434
102.75,-1.16%,2701137,1425998716103
102.87,-1.04%,2738787,1425998776795
102.84,-1.07%,2750247,1425998837341
102.88,-1.03%,2760070,1425998897890
103.11,-0.81%,2820003,1425998958438
103.07,-0.85%,2882544,1425999019116
103.10,-0.82%,2930174,1425999079792
