Price,Change,Volume,Time
77.86,-0.90%,96477,1425994231354
77.85,-0.92%,136699,1425994291987
77.88,-0.88%,166572,1425994352533
77.82,-0.95%,193916,1425994413078
77.89,-0.87%,198176,1425994473752
77.92,-0.83%,240529,1425994534450
77.94,-0.80%,249552,1425994595603
77.91,-0.84%,267629,1425994656148
77.97,-0.76%,297992,1425994716686
77.93,-0.81%,321584,1425994777354
77.93,-0.81%,350937,1425994838034
77.88,-0.88%,369861,1425994898578
77.87,-0.89%,371837,1425994959132
77.86,-0.90%,435398,1425995019676
77.82,-0.95%,458343,1425995080380
77.72,-1.08%,473796,1425995141052
77.78,-1.01%,492339,1425995201602
77.82,-0.95%,543114,1425995262149
77.75,-1.04%,553117,1425995322684
77.83,-0.94%,584860,1425995383370
77.81,-0.97%,599900,1425995444048
77.81,-0.97%,638003,1425995504596
77.88,-0.88%,646595,1425995565136
77.91,-0.84%,651766,1425995625682
77.90,-0.85%,659998,1425995686264
77.87,-0.89%,667605,1425995746932
77.83,-0.94%,678949,1425995807478
77.87,-0.89%,693716,1425995868020
77.84,-0.93%,716777,1425995928580
77.85,-0.92%,724724,1425995989125
77.85,-0.92%,734135,1425996049803
77.88,-0.87%,748159,1425996110352
77.91,-0.84%,754675,1425996170891
77.88,-0.88%,767646,1425996231435
77.87,-0.89%,778088,1425996291973
77.88,-0.88%,790261,1425996352663
77.91,-0.84%,794786,1425996413206
77.89,-0.87%,828730,1425996473745
77.88,-0.88%,839687,1425996534285
77.91,-0.84%,851677,1425996594953
77.87,-0.89%,857046,1425996655629
77.83,-0.94%,863728,1425996716176
77.82,-0.95%,873927,1425996776724
77.86,-0.91%,908286,1425996837269
77.87,-0.90%,937344,1425996897955
77.86,-0.91%,1011388,1425996958823
77.81,-0.97%,1066934,1425997019368
77.82,-0.95%,1086579,1425997079912
77.84,-0.93%,1093784,1425997140465
77.83,-0.94%,1099257,1425997201138
77.83,-0.94%,1108298,1425997261822
77.86,-0.90%,1115415,1425997322366
77.83,-0.95%,1133162,1425997382911
77.87,-0.89%,1175990,1425997443457
77.87,-0.89%,1180456,1425997504124
77.89,-0.87%,1191172,1425997564814
77.89,-0.87%,1199912,1425997625357
77.86,-0.90%,1220123,1425997685906
77.86,-0.90%,1236439,1425997746457
77.87,-0.89%,1259197,1425997807124
77.86,-0.90%,1272013,1425997867809
77.86,-0.90%,1309054,1425997928348
77.95,-0.79%,1324451,1425997988893
77.93,-0.81%,1336589,1425998049443
77.97,-0.76%,1368972,1425998110135
77.95,-0.79%,1376941,1425998170816
77.92,-0.83%,1398298,1425998231350
77.95,-0.79%,1413911,1425998291902
77.91,-0.84%,1484571,1425998352441
77.95,-0.79%,1495684,1425998413127
77.96,-0.78%,1512128,1425998473794
77.94,-0.80%,1520581,1425998534349
77.93,-0.81%,1536077,1425998594885
77.93,-0.81%,1553464,1425998655435
77.95,-0.79%,1576598,1425998716103
77.95,-0.79%,1585889,1425998776795
77.95,-0.79%,1598539,1425998837341
77.95,-0.79%,1606269,1425998897890
77.96,-0.78%,1615671,1425998958438
78.00,-0.73%,1624967,1425999019116
78.03,-0.69%,1635348,1425999079792
78.06,-0.65%,1645760,1425999140345
78.09,-0.61%,1650140,1425999200888
78.10,-0.60%,1651943,1425999261440
78.10,-0.60%,1661786,1425999322134
78.16,-0.52%,1681080,1425999382799
78.21,-0.46%,1690876,1425999443347
78.18,-0.50%,1696813,1425999503899
78.18,-0.50%,1700330,1425999564446
78.19,-0.48%,1728387,1425999625132
78.18,-0.50%,1734050,1425999685803
78.23,-0.43%,1743883,1425999746347
78.23,-0.43%,1750962,1425999806898
78.23,-0.43%,1756473,1425999867441
78.17,-0.51%,1761745,1425999928120
78.19,-0.48%,1767444,1425999988797
78.20,-0.47%,1776564,1426000049339
78.21,-0.46%,1780044,1426000109876
78.27,-0.38%,1799847,1426000170424
78.27,-0.38%,1816060,1426000231182
78.26,-0.39%,1819720,1426000291849
78.22,-0.45%,1829499,1426000352400
78.23,-0.43%,1838934,1426000412946
78.23,-0.43%,1853441,1426000473493
78.25,-0.41%,1865871,1426000534167
78.26,-0.39%,1872121,1426000594845
78.29,-0.36%,1884252,1426000655391
78.27,-0.38%,1886197,1426000715948
78.27,-0.38%,1892711,1426000776487
78.33,-0.31%,1903207,1426000837163
78.33,-0.31%,1911654,1426000897851
78.38,-0.24%,1920712,1426000958403
78.39,-0.24%,1934020,1426001018944
78.38,-0.24%,1949491,1426001079489
78.33,-0.31%,1953901,1426001140169
78.35,-0.29%,1957563,1426001200863
78.38,-0.24%,1962923,1426001261449
78.39,-0.23%,1974349,1426001321997
78.36,-0.27%,1980024,1426001382549
78.35,-0.28%,1987580,1426001443219
78.34,-0.29%,1988871,1426001503909
78.32,-0.32%,1994656,1426001564454
78.34,-0.29%,2001632,1426001624990
78.29,-0.36%,2005442,1426001685532
78.30,-0.34%,2012314,1426001746199
78.27,-0.38%,2015636,1426001806878
78.25,-0.40%,2022284,1426001867418
78.23,-0.43%,2032082,1426001927951
78.25,-0.41%,2037101,1426001988506
78.26,-0.39%,2041511,1426002049183
78.25,-0.41%,2046932,1426002109852
78.16,-0.52%,2060210,1426002170394
78.08,-0.62%,2072305,1426002230949
78.09,-0.61%,2085094,1426002291490
78.06,-0.65%,2093149,1426002352172
78.03,-0.69%,2098861,1426002412851
78.07,-0.64%,2104431,1426002473394
78.06,-0.65%,2108751,1426002533934
78.08,-0.62%,2118160,1426002594477
78.04,-0.67%,2124750,1426002655149
78.05,-0.66%,2129511,1426002715829
78.04,-0.67%,2155911,1426002776366
78.07,-0.64%,2174360,1426002836911
78.02,-0.70%,2264160,1426002897457
78.01,-0.71%,2278909,1426002958154
78.01,-0.71%,2384548,1426003018848
78.00,-0.73%,2417662,1426003079393
78.01,-0.71%,2434631,1426003139939
77.94,-0.80%,2441479,1426003200479
