Price,Change,Volume,Time
25.49,-0.59%,128437,1425994231355
25.42,-0.84%,1040349,1425994291987
25.41,-0.90%,1196201,1425994352534
25.42,-0.87%,1302009,1425994413078
25.39,-0.98%,1438330,1425994473752
25.42,-0.86%,1476187,1425994534450
25.41,-0.92%,1532524,1425994595604
25.40,-0.92%,1609053,1425994656149
25.43,-0.82%,1748748,1425994716686
25.42,-0.86%,1852990,1425994777354
25.45,-0.74%,1965111,1425994838034
25.44,-0.78%,2030795,1425994898578
25.46,-0.70%,2114169,1425994959132
25.47,-0.67%,2368514,1425995019676
25.46,-0.68%,2401274,1425995080380
25.46,-0.68%,2494430,1425995141052
25.44,-0.78%,2552921,1425995201603
25.44,-0.76%,2610459,1425995262150
25.45,-0.74%,2665773,1425995322684
25.44,-0.76%,2683090,1425995383370
25.44,-0.76%,2780011,1425995444048
25.40,-0.96%,2911044,1425995504596
25.42,-0.86%,3000102,1425995565136
25.44,-0.78%,3024913,1425995625682
25.44,-0.80%,3158960,1425995686265
25.43,-0.82%,3199622,1425995746932
25.44,-0.76%,3305376,1425995807478
25.46,-0.70%,3336412,1425995868020
25.45,-0.76%,3385538,1425995928580
25.42,-0.86%,3409654,1425995989125
25.43,-0.82%,3468661,1425996049803
25.42,-0.86%,3519779,1425996110352
25.42,-0.88%,3549215,1425996170891
25.43,-0.82%,3597434,1425996231436
25.43,-0.80%,3641337,1425996291973
25.43,-0.82%,3692796,1425996352663
25.45,-0.75%,3727088,1425996413206
25.47,-0.66%,3865744,1425996473746
25.47,-0.68%,3911838,1425996534285
25.43,-0.80%,4155627,1425996594953
25.43,-0.80%,4362684,1425996655629
25.42,-0.88%,4439796,1425996716176
25.42,-0.87%,4510521,1425996776725
25.41,-0.92%,4710782,1425996837269
25.40,-0.96%,4932929,1425996897955
25.40,-0.96%,5019147,1425996958823
25.40,-0.94%,5166435,1425997019369
25.42,-0.86%,5214404,1425997079913
25.43,-0.82%,5245555,1425997140466
25.43,-0.82%,5265225,1425997201138
25.42,-0.88%,5334453,1425997261823
25.43,-0.82%,5371484,1425997322366
25.44,-0.78%,5447395,1425997382912
25.44,-0.76%,5515660,1425997443457
25.44,-0.76%,5559942,1425997504124
25.44,-0.77%,5598762,1425997564815
25.45,-0.74%,5621637,1425997625358
25.42,-0.84%,5798249,1425997685906
25.45,-0.74%,5895602,1425997746457
25.45,-0.74%,5936707,1425997807125
