Price,Change,Volume,Time
185.42,-1.34%,6560,1425994231356
185.16,-1.47%,42396,1425994291987
185.58,-1.25%,58202,1425994352534
185.93,-1.06%,73507,1425994413079
185.61,-1.23%,75901,1425994473753
185.93,-1.06%,95488,1425994534450
185.76,-1.15%,106949,1425994595604
186.09,-0.98%,107606,1425994656149
185.63,-1.22%,117201,1425994716686
185.69,-1.19%,124027,1425994777354
185.55,-1.27%,128135,1425994838034
185.47,-1.31%,136910,1425994898578
185.25,-1.43%,142698,1425994959132
185.22,-1.44%,154892,1425995019676
185.24,-1.43%,163109,1425995080380
184.81,-1.66%,171428,1425995141052
184.90,-1.61%,186685,1425995201603
184.89,-1.62%,190478,1425995262150
184.90,-1.61%,197729,1425995322684
184.94,-1.59%,199259,1425995383370
184.68,-1.73%,211335,1425995444048
184.51,-1.82%,223757,1425995504596
184.55,-1.80%,239192,1425995565136
184.55,-1.80%,240085,1425995625682
184.74,-1.70%,243629,1425995686265
184.64,-1.75%,256381,1425995746932
184.81,-1.66%,271021,1425995807479
184.76,-1.69%,279802,1425995868021
184.65,-1.75%,283999,1425995928580
184.71,-1.71%,293791,1425995989125
184.51,-1.82%,298231,1425996049803
184.57,-1.79%,311044,1425996110352
184.64,-1.75%,319150,1425996170891
184.58,-1.78%,326306,1425996231436
184.65,-1.75%,339228,1425996291973
184.77,-1.68%,343944,1425996352663
184.96,-1.58%,354209,1425996413206
184.87,-1.63%,363437,1425996473746
185.04,-1.54%,369986,1425996534285
185.01,-1.55%,375176,1425996594953
185.10,-1.51%,386199,1425996655629
184.87,-1.63%,395268,1425996716177
184.94,-1.59%,397455,1425996776725
184.88,-1.62%,414876,1425996837269
184.44,-1.86%,420189,1425996897955
184.12,-2.03%,435597,1425996958823
184.18,-2.00%,436565,1425997019369
184.37,-1.89%,440986,1425997079913
184.54,-1.80%,444424,1425997140466
184.52,-1.81%,446180,1425997201138
184.64,-1.75%,452231,1425997261823
184.78,-1.68%,461834,1425997322366
184.59,-1.78%,467166,1425997382912
184.53,-1.81%,472086,1425997443457
184.65,-1.75%,478097,1425997504124
184.65,-1.75%,480224,1425997564815
184.55,-1.80%,485778,1425997625358
184.24,-1.96%,492440,1425997685907
184.30,-1.93%,494215,1425997746457
184.40,-1.88%,507265,1425997807125
184.17,-2.00%,515211,1425997867809
184.27,-1.95%,516992,1425997928349
184.31,-1.93%,519226,1425997988893
184.30,-1.93%,527385,1425998049444
184.28,-1.94%,533658,1425998110135
184.23,-1.97%,537283,1425998170816
184.09,-2.04%,542911,1425998231351
183.99,-2.10%,550953,1425998291902
184.00,-2.09%,554784,1425998352442
184.16,-2.01%,558853,1425998413127
184.29,-1.94%,562635,1425998473794
184.35,-1.90%,571465,1425998534349
184.23,-1.97%,575067,1425998594885
184.23,-1.97%,578250,1425998655435
184.38,-1.89%,585262,1425998716104
184.38,-1.89%,610389,1425998776795
184.18,-2.00%,615276,1425998837342
184.07,-2.05%,618684,1425998897890
184.07,-2.05%,622089,1425998958438
184.23,-1.97%,630036,1425999019117
184.17,-2.00%,648910,1425999079792
184.17,-2.00%,652695,1425999140346
184.22,-1.97%,664544,1425999200888
184.22,-1.97%,674688,1425999261440
184.32,-1.92%,683317,1425999322134
184.47,-1.84%,692729,1425999382800
184.45,-1.85%,696080,1425999443351
184.46,-1.85%,699067,1425999503899
184.58,-1.78%,704934,1425999564446
184.30,-1.93%,720175,1425999625133
184.40,-1.88%,722768,1425999685803
184.78,-1.68%,735127,1425999746347
184.90,-1.61%,741150,1425999806898
184.89,-1.62%,746256,1425999867441
184.80,-1.67%,748000,1425999928120
184.86,-1.63%,751970,1425999988798
184.96,-1.58%,754814,1426000049339
184.98,-1.57%,756156,1426000109877
184.95,-1.59%,761834,1426000170424
184.95,-1.59%,766975,1426000231183
184.91,-1.61%,771607,1426000291850
184.89,-1.62%,773748,1426000352400
185.00,-1.56%,778534,1426000412946
185.18,-1.46%,781199,1426000473493
185.26,-1.42%,784843,1426000534167
185.20,-1.45%,787092,1426000594845
185.25,-1.43%,793427,1426000655392
185.15,-1.48%,794696,1426000715948
185.19,-1.46%,800079,1426000776487
185.24,-1.43%,802340,1426000837164
185.24,-1.43%,806257,1426000897851
185.31,-1.39%,809087,1426000958404
185.32,-1.39%,814387,1426001018944
185.32,-1.39%,825933,1426001079489
185.25,-1.43%,828576,1426001140169
185.39,-1.35%,831656,1426001200863
185.36,-1.37%,834339,1426001261450
185.35,-1.37%,836701,1426001321997
185.21,-1.45%,841489,1426001382549
185.20,-1.45%,842192,1426001443220
185.27,-1.42%,845420,1426001503909
185.23,-1.44%,847502,1426001564455
185.30,-1.40%,852082,1426001624991
185.14,-1.48%,864857,1426001685532
185.17,-1.47%,868567,1426001746199
185.14,-1.48%,870505,1426001806878
185.03,-1.54%,872608,1426001867418
184.96,-1.58%,876260,1426001927952
185.01,-1.55%,880455,1426001988506
185.00,-1.56%,881320,1426002049183
184.93,-1.60%,882773,1426002109852
184.88,-1.62%,887439,1426002170395
184.73,-1.70%,890722,1426002230950
184.72,-1.71%,892438,1426002291490
184.63,-1.76%,894140,1426002352172
184.51,-1.82%,899086,1426002412851
184.50,-1.83%,900883,1426002473394
184.48,-1.84%,903585,1426002533934
184.39,-1.88%,908128,1426002594477
184.25,-1.96%,917126,1426002655149
184.34,-1.91%,921166,1426002715829
184.28,-1.94%,923512,1426002776366
184.32,-1.92%,928941,1426002836912
184.17,-2.00%,934860,1426002897457
184.23,-1.97%,939929,1426002958154
184.27,-1.95%,941638,1426003018848
184.24,-1.96%,947165,1426003079393
184.25,-1.96%,948040,1426003139939
184.00,-2.09%,954329,1426003200479
184.05,-2.07%,961942,1426003261060
184.13,-2.02%,970503,1426003321750
183.97,-2.11%,978662,1426003382288
183.90,-2.14%,984149,1426003442829
184.00,-2.09%,990167,1426003503385
184.00,-2.09%,994142,1426003564057
184.06,-2.06%,1002924,1426003624760
184.12,-2.03%,1003460,1426003685303
184.11,-2.03%,1006439,1426003745852
184.14,-2.02%,1010027,1426003806394
184.21,-1.98%,1011799,1426003867076
184.33,-1.92%,1016704,1426003927749
184.35,-1.91%,1025322,1426003988303
184.47,-1.84%,1029734,1426004048846
184.44,-1.86%,1030310,1426004109395
184.47,-1.84%,1033301,1426004170075
184.41,-1.87%,1037456,1426004230747
184.35,-1.90%,1039598,1426004291367
184.40,-1.88%,1045057,1426004351929
184.46,-1.85%,1049310,1426004412465
184.48,-1.84%,1055144,1426004473146
184.34,-1.91%,1060268,1426004533816
184.30,-1.93%,1063999,1426004594377
184.25,-1.96%,1065858,1426004654922
184.16,-2.01%,1070240,1426004715457
184.16,-2.01%,1075001,1426004776135
184.15,-2.01%,1076457,1426004836826
184.15,-2.01%,1078736,1426004897393
184.18,-1.99%,1082291,1426004957935
184.18,-2.00%,1087748,1426005018478
184.11,-2.03%,1095866,1426005079144
184.22,-1.97%,1097664,1426005139826
184.22,-1.97%,1097889,1426005200366
184.18,-2.00%,1102081,1426005260916
184.21,-1.98%,1107664,1426005321461
184.23,-1.97%,1113486,1426005382139
184.21,-1.98%,1114818,1426005442830
184.25,-1.96%,1117126,1426005503378
184.31,-1.93%,1121854,1426005563920
184.37,-1.89%,1127501,1426005624473
184.43,-1.86%,1132327,1426005685155
184.47,-1.84%,1137055,1426005745830
184.40,-1.88%,1141143,1426005806378
184.46,-1.85%,1145215,1426005866918
184.49,-1.83%,1148858,1426005927474
184.34,-1.91%,1151902,1426005988151
184.51,-1.82%,1155716,1426006048821
184.50,-1.83%,1158579,1426006109370
184.30,-1.93%,1160310,1426006169919
184.39,-1.88%,1161543,1426006230457
184.29,-1.94%,1164493,1426006291162
184.29,-1.94%,1165588,1426006351867
184.32,-1.92%,1166667,1426006412401
184.54,-1.80%,1169904,1426006472941
184.44,-1.86%,1175985,1426006533489
184.50,-1.83%,1178548,1426006594174
184.52,-1.81%,1180070,1426006654854
184.54,-1.80%,1182781,1426006715387
184.48,-1.84%,1183287,1426006775935
184.39,-1.88%,1188187,1426006836489
184.37,-1.89%,1193613,1426006897155
184.36,-1.90%,1197220,1426006957839
184.36,-1.90%,1198081,1426007018404
184.44,-1.86%,1199744,1426007078952
184.53,-1.81%,1200717,1426007139514
184.64,-1.75%,1205657,1426007200192
184.61,-1.77%,1207689,1426007260883
184.41,-1.87%,1210202,1426007321442
184.48,-1.83%,1210519,1426007381985
184.40,-1.88%,1215150,1426007442528
184.30,-1.93%,1216863,1426007503207
184.39,-1.88%,1218762,1426007563873
184.44,-1.86%,1222531,1426007624420
184.41,-1.87%,1223293,1426007684965
184.35,-1.90%,1223861,1426007745518
184.36,-1.90%,1226651,1426007806189
184.44,-1.86%,1228966,1426007866859
184.47,-1.84%,1230277,1426007927423
184.43,-1.86%,1231555,1426007987965
184.57,-1.79%,1236997,1426008048508
184.74,-1.70%,1245853,1426008109187
184.57,-1.79%,1249864,1426008169875
184.54,-1.80%,1251461,1426008230412
184.54,-1.80%,1255464,1426008290956
184.55,-1.80%,1261561,1426008351612
184.54,-1.80%,1263037,1426008412286
184.46,-1.85%,1265544,1426008472966
184.34,-1.91%,1270753,1426008533509
184.31,-1.93%,1280398,1426008594061
184.27,-1.95%,1284514,1426008654602
184.25,-1.96%,1284746,1426008715269
184.17,-2.00%,1296582,1426008775959
184.20,-1.98%,1300675,1426008836518
184.15,-2.01%,1308660,1426008897066
184.11,-2.03%,1311416,1426008957621
184.13,-2.02%,1315125,1426009018287
184.15,-2.01%,1319126,1426009078958
184.08,-2.05%,1321478,1426009139499
184.12,-2.03%,1325292,1426009200048
184.10,-2.04%,1331147,1426009260592
184.11,-2.03%,1333876,1426009321275
184.06,-2.06%,1336950,1426009381948
184.05,-2.07%,1341765,1426009442493
184.06,-2.06%,1344551,1426009503039
184.14,-2.02%,1346160,1426009563585
184.14,-2.01%,1349458,1426009624260
184.18,-2.00%,1355288,1426009684941
184.13,-2.02%,1360151,1426009745487
184.04,-2.07%,1363569,1426009806030
183.99,-2.10%,1369918,1426009866580
184.03,-2.08%,1372395,1426009927271
183.99,-2.10%,1378217,1426009988030
183.99,-2.10%,1387459,1426010048565
184.00,-2.09%,1392302,1426010109112
183.99,-2.10%,1394989,1426010169646
183.88,-2.16%,1403158,1426010230322
184.10,-2.04%,1408424,1426010291001
184.06,-2.06%,1416623,1426010351549
184.13,-2.02%,1425109,1426010412092
184.07,-2.05%,1426873,1426010472643
184.04,-2.07%,1430399,1426010533319
184.04,-2.07%,1432601,1426010594014
184.00,-2.09%,1436711,1426010654559
183.94,-2.12%,1439506,1426010715102
184.10,-2.04%,1442284,1426010775634
184.08,-2.05%,1445978,1426010836314
184.10,-2.04%,1447309,1426010896996
184.15,-2.01%,1451667,1426010957546
184.14,-2.02%,1452600,1426011018094
184.07,-2.05%,1457575,1426011078642
183.99,-2.10%,1462431,1426011139321
183.85,-2.17%,1466167,1426011199992
183.75,-2.22%,1472949,1426011260541
183.67,-2.27%,1479978,1426011321084
183.78,-2.21%,1483129,1426011381629
183.76,-2.22%,1486232,1426011442293
183.79,-2.20%,1487460,1426011502973
183.73,-2.23%,1494388,1426011563512
183.72,-2.24%,1496829,1426011624055
183.65,-2.28%,1504058,1426011684598
183.64,-2.28%,1507485,1426011745282
183.70,-2.25%,1512174,1426011805950
183.54,-2.34%,1517603,1426011866499
183.49,-2.36%,1525879,1426011927037
183.48,-2.37%,1528342,1426011987585
183.49,-2.36%,1532259,1426012048274
183.57,-2.32%,1534412,1426012108950
183.48,-2.37%,1536384,1426012169494
183.45,-2.38%,1539224,1426012230049
183.49,-2.36%,1549920,1426012290593
183.70,-2.25%,1552758,1426012351289
183.62,-2.29%,1556859,1426012411982
183.66,-2.27%,1557401,1426012472517
183.61,-2.30%,1561211,1426012533065
183.63,-2.29%,1564302,1426012593607
183.48,-2.37%,1566661,1426012654274
183.55,-2.33%,1570650,1426012714952
183.52,-2.35%,1576512,1426012775491
183.49,-2.37%,1577844,1426012836028
183.46,-2.38%,1585695,1426012896570
183.31,-2.46%,1603195,1426012957259
183.25,-2.49%,1614774,1426013017944
183.32,-2.45%,1619629,1426013078484
183.45,-2.38%,1623086,1426013139032
183.47,-2.37%,1626125,1426013199576
183.51,-2.35%,1630274,1426013260250
183.49,-2.36%,1644333,1426013320924
183.12,-2.56%,1657465,1426013381466
183.28,-2.47%,1664771,1426013442004
183.26,-2.48%,1667339,1426013502567
183.40,-2.41%,1669458,1426013563248
183.34,-2.44%,1675411,1426013623928
183.26,-2.48%,1678598,1426013684464
183.15,-2.54%,1686344,1426013745010
183.28,-2.47%,1690574,1426013805557
183.26,-2.48%,1692375,1426013866228
183.30,-2.46%,1695455,1426013928193
183.27,-2.48%,1698045,1426013988736
183.13,-2.55%,1704591,1426014049418
183.36,-2.43%,1710322,1426014109966
183.38,-2.42%,1719182,1426014170646
183.31,-2.46%,1725484,1426014231185
183.35,-2.44%,1741867,1426014291728
183.21,-2.51%,1751950,1426014352420
183.22,-2.51%,1756798,1426014412984
183.32,-2.45%,1761103,1426014473651
183.40,-2.41%,1763469,1426014534199
183.28,-2.47%,1770700,1426014594742
183.38,-2.42%,1775926,1426014655416
183.40,-2.41%,1784696,1426014715957
183.44,-2.39%,1788039,1426014776633
183.40,-2.41%,1795014,1426014837179
183.39,-2.42%,1800451,1426014897738
183.37,-2.43%,1806589,1426014958426
183.35,-2.44%,1811332,1426015018974
183.47,-2.37%,1816549,1426015080654
183.47,-2.37%,1831888,1426015141197
183.49,-2.36%,1841624,1426015201749
183.52,-2.35%,1846927,1426015262425
183.56,-2.33%,1860849,1426015322981
183.55,-2.33%,1869543,1426015383651
183.56,-2.33%,1876529,1426015444193
183.65,-2.28%,1885130,1426015504736
183.61,-2.30%,1893146,1426015565419
183.56,-2.33%,1898667,1426015625960
183.51,-2.35%,1909244,1426015686650
183.59,-2.31%,1916193,1426015747197
183.38,-2.42%,1929852,1426015807741
183.34,-2.44%,1936236,1426015868431
183.22,-2.51%,1943126,1426015928981
183.22,-2.51%,1955575,1426015989652
183.28,-2.47%,1965628,1426016050205
183.27,-2.48%,1973936,1426016110744
183.25,-2.49%,1982568,1426016171441
183.13,-2.55%,2000249,1426016231986
183.24,-2.50%,2010710,1426016292656
183.20,-2.52%,2014711,1426016353206
183.24,-2.50%,2020564,1426016413751
183.29,-2.47%,2030582,1426016474420
183.43,-2.39%,2043195,1426016534971
183.26,-2.48%,2052130,1426016595674
183.41,-2.41%,2063001,1426016656219
183.33,-2.45%,2075684,1426016716766
183.34,-2.44%,2083341,1426016777454
183.33,-2.45%,2093864,1426016838001
183.35,-2.44%,2107424,1426016898696
183.47,-2.37%,2122552,1426016959246
183.29,-2.47%,2138099,1426017019788
183.31,-2.46%,2158674,1426017080465
183.29,-2.47%,2168729,1426017141007
183.23,-2.50%,2180136,1426017201678
183.33,-2.45%,2208798,1426017262217
183.26,-2.48%,2234092,1426017322752
183.13,-2.55%,2250521,1426017383430
183.10,-2.57%,2282644,1426017443974
183.06,-2.59%,2314880,1426017504652
