Price,Change,Volume,Time
159.99,-0.49%,8533,1425994231357
160.07,-0.44%,23017,1425994291988
159.91,-0.53%,226656,1425994352534
160.20,-0.36%,245131,1425994413079
160.13,-0.40%,258590,1425994473753
159.88,-0.55%,271760,1425994534451
159.84,-0.58%,280005,1425994595604
159.88,-0.55%,300222,1425994656149
159.68,-0.68%,316139,1425994716687
159.69,-0.67%,331235,1425994777354
159.48,-0.80%,344719,1425994838034
159.35,-0.89%,358013,1425994898578
159.32,-0.91%,369100,1425994959132
159.27,-0.93%,384972,1425995019677
159.55,-0.76%,396097,1425995080380
159.38,-0.86%,405543,1425995141052
159.32,-0.90%,434090,1425995201603
159.38,-0.86%,458197,1425995262150
159.41,-0.84%,476474,1425995322685
159.39,-0.86%,508966,1425995383370
159.37,-0.87%,547520,1425995444049
159.32,-0.90%,558138,1425995504597
159.42,-0.84%,567513,1425995565136
159.38,-0.86%,586879,1425995625683
159.39,-0.86%,598610,1425995686265
159.41,-0.85%,607426,1425995746933
159.34,-0.89%,629575,1425995807479
159.39,-0.86%,633833,1425995868021
159.26,-0.94%,653626,1425995928581
159.19,-0.98%,666434,1425995989126
159.16,-1.00%,675087,1425996049803
159.19,-0.98%,685256,1425996110352
159.24,-0.95%,693525,1425996170891
159.24,-0.95%,699691,1425996231436
159.28,-0.93%,712602,1425996291973
159.22,-0.96%,723606,1425996352663
159.15,-1.01%,736821,1425996413206
159.09,-1.04%,746910,1425996473746
159.11,-1.03%,757047,1425996534286
159.10,-1.04%,764454,1425996594954
159.11,-1.03%,771018,1425996655630
158.99,-1.11%,797911,1425996716177
159.21,-0.97%,817123,1425996776725
159.10,-1.04%,827269,1425996837269
159.05,-1.07%,838089,1425996897956
159.13,-1.02%,850262,1425996958824
159.07,-1.06%,862523,1425997019369
159.19,-0.98%,870953,1425997079914
159.30,-0.91%,894809,1425997140466
159.28,-0.93%,899619,1425997201139
159.16,-1.00%,908076,1425997261823
159.17,-1.00%,914118,1425997322366
159.10,-1.04%,919568,1425997382912
159.04,-1.08%,925134,1425997443457
159.09,-1.04%,928769,1425997504124
159.19,-0.98%,931241,1425997564815
159.10,-1.04%,939366,1425997625358
158.98,-1.11%,951240,1425997685907
159.05,-1.07%,958126,1425997746457
159.05,-1.07%,964100,1425997807125
158.97,-1.12%,982635,1425997867809
159.05,-1.07%,985148,1425997928349
159.04,-1.08%,997234,1425997988894
158.98,-1.11%,1012222,1425998049444
159.01,-1.09%,1024232,1425998110136
159.01,-1.09%,1032544,1425998170817
159.04,-1.08%,1055648,1425998231351
159.04,-1.08%,1062204,1425998291903
158.98,-1.11%,1067402,1425998352442
158.96,-1.12%,1080768,1425998413128
159.02,-1.09%,1087018,1425998473795
159.04,-1.08%,1098811,1425998534350
159.01,-1.09%,1113290,1425998594885
159.09,-1.04%,1126237,1425998655435
159.12,-1.03%,1129367,1425998716104
159.10,-1.04%,1138839,1425998776795
159.12,-1.03%,1150109,1425998837342
159.05,-1.07%,1157547,1425998897891
159.02,-1.09%,1168420,1425998958439
159.01,-1.09%,1175292,1425999019117
159.07,-1.06%,1182705,1425999079792
159.09,-1.04%,1187955,1425999140346
159.18,-0.99%,1195230,1425999200888
159.27,-0.93%,1200031,1425999261440
159.21,-0.97%,1207681,1425999322134
159.26,-0.94%,1211432,1425999382800
159.24,-0.95%,1216838,1425999443351
159.20,-0.98%,1223038,1425999503900
159.29,-0.92%,1227748,1425999564446
159.20,-0.98%,1249506,1425999625133
159.25,-0.95%,1259712,1425999685804
159.42,-0.84%,1265744,1425999746347
159.40,-0.85%,1277335,1425999806899
159.40,-0.86%,1285840,1425999867441
159.40,-0.85%,1291237,1425999928121
159.43,-0.83%,1300283,1425999988798
159.43,-0.83%,1309444,1426000049339
