Price,Change,Volume,Time
32.29,-1.31%,741835,1425994231433
32.30,-1.28%,854281,1425994291988
32.39,-1.01%,1065872,1425994352534
32.34,-1.16%,1224581,1425994413079
32.27,-1.38%,1326141,1425994473753
32.38,-1.04%,1398368,1425994534451
32.35,-1.13%,1518445,1425994595604
32.33,-1.19%,1601099,1425994656149
32.33,-1.19%,1798309,1425994716687
32.33,-1.19%,1933308,1425994777355
32.33,-1.19%,2160914,1425994838035
32.33,-1.18%,2250551,1425994898578
32.29,-1.31%,2418179,1425994959133
32.29,-1.32%,2553194,1425995019677
32.29,-1.31%,2611684,1425995080381
32.25,-1.44%,2713067,1425995141052
32.20,-1.59%,2870906,1425995201603
32.16,-1.71%,2922633,1425995262150
32.15,-1.74%,3081870,1425995322685
32.17,-1.68%,3220243,1425995383371
32.12,-1.83%,3580924,1425995444049
32.10,-1.89%,3766638,1425995504597
32.08,-1.96%,3889116,1425995565136
32.14,-1.77%,4020004,1425995625683
32.18,-1.65%,4187194,1425995686265
32.19,-1.60%,4249092,1425995746933
32.27,-1.38%,4480553,1425995807479
32.27,-1.38%,4733573,1425995868021
32.30,-1.28%,5115855,1425995928581
32.35,-1.15%,5281074,1425995989126
32.32,-1.22%,5437861,1425996049803
32.25,-1.44%,5591185,1425996110352
32.29,-1.31%,5871101,1425996170891
32.27,-1.38%,5997336,1425996231436
32.34,-1.16%,6079195,1425996291974
32.26,-1.41%,6200918,1425996352663
32.27,-1.38%,6301750,1425996413206
32.23,-1.50%,6414636,1425996473746
32.22,-1.53%,6516701,1425996534286
32.19,-1.62%,6699774,1425996594954
32.20,-1.59%,6788147,1425996655630
32.17,-1.70%,6926611,1425996716177
32.19,-1.64%,7066402,1425996776725
32.19,-1.60%,7303695,1425996837269
32.17,-1.68%,7493270,1425996897956
32.10,-1.88%,7743862,1425996958824
32.06,-2.02%,7945199,1425997019369
32.06,-2.00%,8093688,1425997079914
32.12,-1.84%,8342776,1425997140466
32.11,-1.86%,8419357,1425997201139
32.10,-1.89%,8522216,1425997261823
32.10,-1.88%,8692862,1425997322366
32.06,-2.02%,8846504,1425997382912
32.06,-2.02%,9144477,1425997443457
32.05,-2.05%,9346262,1425997504124
