Price,Change,Volume,Time
99.98,-0.68%,296190,1425994231434
99.69,-0.96%,334037,1425994291988
99.77,-0.88%,411645,1425994352534
100.08,-0.58%,436175,1425994413079
99.98,-0.67%,447838,1425994473753
99.93,-0.73%,459165,1425994534451
99.86,-0.79%,485475,1425994595604
99.87,-0.78%,497751,1425994656149
99.88,-0.77%,507239,1425994716687
99.83,-0.82%,523543,1425994777355
99.87,-0.78%,544923,1425994838035
99.81,-0.84%,558682,1425994898579
99.75,-0.90%,603531,1425994959133
99.74,-0.91%,629807,1425995019677
99.78,-0.87%,644536,1425995080381
99.66,-0.99%,659542,1425995141053
99.68,-0.97%,674582,1425995201603
99.65,-1.00%,709246,1425995262150
99.66,-0.99%,721222,1425995322685
99.61,-1.04%,736067,1425995383371
99.63,-1.02%,763597,1425995444049
99.63,-1.02%,783104,1425995504597
99.70,-0.95%,806366,1425995565136
99.75,-0.90%,837017,1425995625683
99.80,-0.85%,892947,1425995686265
99.89,-0.76%,913211,1425995746933
99.99,-0.67%,931300,1425995807479
100.07,-0.59%,943385,1425995868021
99.94,-0.72%,966999,1425995928581
99.90,-0.76%,973854,1425995989126
99.91,-0.75%,988008,1425996049803
100.07,-0.59%,1013027,1425996110352
100.03,-0.63%,1063371,1425996170891
100.08,-0.58%,1092711,1425996231436
100.14,-0.52%,1110086,1425996291974
100.16,-0.50%,1125937,1425996352664
100.06,-0.60%,1139195,1425996413206
100.07,-0.59%,1158530,1425996473746
100.12,-0.54%,1172341,1425996534286
100.10,-0.56%,1183090,1425996594954
100.05,-0.61%,1192897,1425996655630
99.94,-0.72%,1218923,1425996716177
99.95,-0.71%,1234856,1425996776725
99.93,-0.73%,1254364,1425996837269
99.78,-0.87%,1274113,1425996897956
99.87,-0.78%,1316303,1425996958824
99.77,-0.88%,1328628,1425997019369
99.76,-0.89%,1334734,1425997079914
99.83,-0.82%,1354040,1425997140466
99.82,-0.83%,1359909,1425997201139
99.76,-0.89%,1381124,1425997261823
99.87,-0.78%,1395092,1425997322366
99.91,-0.75%,1409186,1425997382912
99.82,-0.83%,1416213,1425997443458
99.76,-0.89%,1425023,1425997504124
99.76,-0.89%,1439554,1425997564815
99.80,-0.85%,1448243,1425997625358
99.75,-0.90%,1462600,1425997685907
99.94,-0.71%,1481112,1425997746458
100.13,-0.53%,1534858,1425997807125
100.06,-0.60%,1564478,1425997867810
100.08,-0.58%,1580622,1425997928349
100.19,-0.47%,1598109,1425997988894
100.20,-0.46%,1636275,1425998049444
100.09,-0.57%,1662769,1425998110136
100.14,-0.51%,1673759,1425998170817
100.06,-0.60%,1695150,1425998231351
100.09,-0.57%,1704739,1425998291903
100.10,-0.56%,1715293,1425998352442
100.15,-0.51%,1731171,1425998413128
100.22,-0.43%,1747587,1425998473795
100.22,-0.44%,1763419,1425998534350
100.13,-0.53%,1772313,1425998594886
100.17,-0.49%,1790910,1425998655435
100.16,-0.50%,1800911,1425998716104
100.17,-0.49%,1810874,1425998776796
100.10,-0.56%,1823725,1425998837342
100.07,-0.58%,1841241,1425998897891
99.97,-0.69%,1858617,1425998958439
99.98,-0.68%,1872375,1425999019117
100.09,-0.57%,1894243,1425999079793
100.08,-0.58%,1898581,1425999140346
100.17,-0.49%,1907993,1425999200888
100.19,-0.47%,1913263,1425999261441
100.16,-0.50%,1921003,1425999322134
100.27,-0.39%,1945962,1425999382800
100.24,-0.42%,1952894,1425999443351
100.21,-0.45%,1960447,1425999503900
100.21,-0.45%,1971170,1425999564446
100.16,-0.50%,2019515,1425999625133
100.27,-0.39%,2029845,1425999685804
100.33,-0.33%,2047699,1425999746348
100.25,-0.41%,2055857,1425999806899
100.30,-0.36%,2062785,1425999867442
100.26,-0.40%,2073264,1425999928121
100.27,-0.39%,2080747,1425999988798
100.29,-0.37%,2090655,1426000049339
100.26,-0.39%,2097766,1426000109877
100.27,-0.39%,2108531,1426000170424
100.16,-0.50%,2137126,1426000231183
100.21,-0.45%,2146316,1426000291850
100.21,-0.45%,2153344,1426000352401
100.22,-0.44%,2159468,1426000412946
100.31,-0.35%,2171674,1426000473494
100.30,-0.35%,2178730,1426000534167
100.30,-0.36%,2186300,1426000594846
100.30,-0.36%,2196733,1426000655393
100.33,-0.33%,2202317,1426000715949
100.37,-0.29%,2221371,1426000776488
100.35,-0.31%,2229316,1426000837164
100.36,-0.29%,2240380,1426000897852
100.41,-0.25%,2253295,1426000958404
100.34,-0.32%,2269749,1426001018944
100.23,-0.43%,2279219,1426001079489
100.21,-0.45%,2284223,1426001140170
100.27,-0.39%,2294298,1426001200863
100.31,-0.35%,2298544,1426001261450
100.27,-0.39%,2308267,1426001321998
100.22,-0.44%,2316373,1426001382550
100.18,-0.47%,2323490,1426001443220
100.18,-0.48%,2334618,1426001503910
100.25,-0.41%,2348903,1426001564455
100.29,-0.37%,2355702,1426001624991
100.22,-0.44%,2366016,1426001685533
100.19,-0.47%,2376907,1426001746200
100.17,-0.49%,2383145,1426001806878
100.12,-0.54%,2391872,1426001867418
100.09,-0.57%,2400823,1426001927952
100.10,-0.56%,2415228,1426001988506
100.11,-0.55%,2428352,1426002049184
100.15,-0.51%,2436188,1426002109852
100.13,-0.53%,2450069,1426002170395
100.07,-0.59%,2461446,1426002230950
100.09,-0.57%,2466563,1426002291491
100.04,-0.62%,2475430,1426002352172
99.98,-0.68%,2483231,1426002412851
100.02,-0.64%,2492249,1426002473394
100.00,-0.66%,2496355,1426002533935
99.96,-0.70%,2504908,1426002594478
99.93,-0.73%,2516254,1426002655150
99.99,-0.67%,2523010,1426002715830
99.91,-0.74%,2528930,1426002776367
99.95,-0.71%,2533174,1426002836912
99.90,-0.76%,2544800,1426002897457
99.97,-0.69%,2568992,1426002958155
99.97,-0.69%,2575548,1426003018848
99.96,-0.70%,2587467,1426003079393
99.96,-0.70%,2595953,1426003139940
99.88,-0.77%,2638166,1426003200480
99.94,-0.72%,2691468,1426003261061
99.88,-0.77%,2708192,1426003321750
99.85,-0.80%,2737140,1426003382289
99.87,-0.78%,2771916,1426003442830
99.86,-0.79%,2795606,1426003503386
99.86,-0.79%,2814295,1426003564057
99.85,-0.80%,2829269,1426003624761
99.87,-0.78%,2839436,1426003685304
