Price,Change,Volume,Time
60.69,-1.32%,48907,1425994231435
60.85,-1.06%,354011,1425994291988
60.77,-1.19%,427320,1425994352535
60.90,-0.98%,492246,1425994413079
60.85,-1.06%,535883,1425994473753
60.98,-0.85%,629674,1425994534451
60.83,-1.09%,752816,1425994595605
60.70,-1.30%,822117,1425994656149
60.79,-1.15%,900926,1425994716687
60.74,-1.24%,1008680,1425994777355
60.70,-1.30%,1094660,1425994838035
60.69,-1.33%,1138608,1425994898579
60.67,-1.35%,1192861,1425994959133
60.58,-1.50%,1252950,1425995019677
60.64,-1.40%,1448054,1425995080381
60.54,-1.56%,1514971,1425995141053
60.55,-1.54%,1588191,1425995201603
60.52,-1.59%,1680702,1425995262150
60.51,-1.61%,1714370,1425995322685
60.48,-1.66%,1767116,1425995383371
60.45,-1.71%,1876585,1425995444049
60.44,-1.72%,1937606,1425995504597
60.50,-1.63%,2012216,1425995565136
60.53,-1.58%,2054915,1425995625683
60.56,-1.53%,2091863,1425995686266
60.61,-1.45%,2130058,1425995746933
60.65,-1.38%,2218245,1425995807479
60.61,-1.45%,2279591,1425995868021
60.63,-1.41%,2415192,1425995928581
60.55,-1.54%,2441893,1425995989126
60.59,-1.48%,2479625,1425996049803
60.61,-1.45%,2530292,1425996110352
60.60,-1.47%,2589794,1425996170892
60.60,-1.46%,2626401,1425996231436
60.61,-1.45%,2666313,1425996291974
60.60,-1.46%,2722952,1425996352664
60.60,-1.47%,2757797,1425996413207
60.56,-1.53%,2788911,1425996473746
60.55,-1.54%,2833172,1425996534286
60.60,-1.47%,2870427,1425996594954
60.60,-1.46%,2905487,1425996655630
60.53,-1.58%,2951137,1425996716177
60.54,-1.56%,2975415,1425996776726
60.48,-1.66%,3006528,1425996837270
60.46,-1.69%,3062470,1425996897956
60.38,-1.82%,3122566,1425996958824
60.37,-1.84%,3176709,1425997019369
60.39,-1.80%,3232369,1425997079915
60.41,-1.77%,3297361,1425997140466
60.44,-1.72%,3315248,1425997201139
60.46,-1.69%,3351522,1425997261823
60.51,-1.61%,3363883,1425997322366
60.49,-1.63%,3404168,1425997382912
60.48,-1.66%,3449298,1425997443458
60.51,-1.61%,3462324,1425997504124
60.54,-1.55%,3501297,1425997564815
60.54,-1.55%,3550448,1425997625358
60.46,-1.69%,3608280,1425997685907
60.51,-1.61%,3631149,1425997746458
60.53,-1.58%,3671258,1425997807125
60.48,-1.66%,3699832,1425997867810
60.50,-1.63%,3716111,1425997928349
60.52,-1.59%,3734242,1425997988894
60.51,-1.61%,3769235,1425998049444
60.51,-1.61%,3789726,1425998110136
60.48,-1.66%,3828798,1425998170817
60.45,-1.71%,3865492,1425998231351
60.42,-1.75%,3895380,1425998291903
60.43,-1.74%,3921093,1425998352442
60.44,-1.72%,3946080,1425998413128
60.49,-1.64%,3983595,1425998473795
60.54,-1.56%,4022145,1425998534350
60.48,-1.65%,4042582,1425998594886
60.43,-1.74%,4099247,1425998655436
60.41,-1.77%,4147582,1425998716104
60.44,-1.73%,4215708,1425998776796
60.44,-1.72%,4251235,1425998837342
60.43,-1.74%,4331046,1425998897891
60.44,-1.72%,4349471,1425998958439
60.47,-1.67%,4375777,1425999019117
60.51,-1.61%,4414699,1425999079793
60.51,-1.61%,4432837,1425999140346
60.55,-1.54%,4459737,1425999200889
60.57,-1.51%,4489804,1425999261441
60.58,-1.50%,4510363,1425999322135
60.60,-1.46%,4538171,1425999382800
60.63,-1.41%,4723877,1425999443351
60.65,-1.38%,4768959,1425999503900
60.65,-1.38%,4792894,1425999564447
60.58,-1.49%,4869913,1425999625133
60.61,-1.45%,4893669,1425999685804
60.65,-1.38%,4951753,1425999746348
60.70,-1.30%,5027525,1425999806899
60.72,-1.27%,5054425,1425999867442
60.74,-1.23%,5113258,1425999928121
60.74,-1.24%,5154888,1425999988798
60.75,-1.22%,5194693,1426000049339
60.75,-1.22%,5280947,1426000109877
60.72,-1.28%,5341265,1426000170425
60.69,-1.32%,5369161,1426000231183
60.71,-1.28%,5383135,1426000291850
60.71,-1.29%,5396570,1426000352401
60.72,-1.27%,5459568,1426000412946
60.74,-1.24%,5504244,1426000473494
60.74,-1.24%,5534508,1426000534168
60.73,-1.25%,5567764,1426000594846
60.74,-1.24%,5583083,1426000655393
60.72,-1.27%,5610487,1426000715949
60.75,-1.22%,5659953,1426000776488
60.77,-1.19%,5757461,1426000837164
60.77,-1.19%,5849819,1426000897852
60.76,-1.20%,5897988,1426000958404
60.74,-1.24%,5982565,1426001018945
60.72,-1.27%,5997679,1426001079489
60.71,-1.29%,6017988,1426001140170
60.73,-1.25%,6041668,1426001200863
60.74,-1.24%,6056661,1426001261450
60.69,-1.32%,6068991,1426001321998
60.68,-1.33%,6088505,1426001382550
60.69,-1.33%,6117839,1426001443220
60.70,-1.30%,6124388,1426001503910
60.70,-1.30%,6137103,1426001564455
60.69,-1.31%,6152042,1426001624991
60.65,-1.39%,6177974,1426001685533
60.63,-1.41%,6203144,1426001746200
60.66,-1.37%,6218400,1426001806879
60.62,-1.44%,6246244,1426001867418
60.57,-1.51%,6257477,1426001927952
60.59,-1.48%,6274897,1426001988506
60.61,-1.45%,6297071,1426002049184
60.58,-1.50%,6303888,1426002109852
60.62,-1.42%,6370705,1426002170395
60.56,-1.53%,6429451,1426002230950
60.54,-1.56%,6458414,1426002291491
60.49,-1.64%,6481993,1426002352173
60.47,-1.67%,6537584,1426002412852
60.50,-1.63%,6547919,1426002473395
60.50,-1.63%,6555900,1426002533935
60.50,-1.63%,6568886,1426002594478
60.49,-1.65%,6616236,1426002655150
60.49,-1.64%,6625521,1426002715830
60.50,-1.63%,6643097,1426002776367
