Price,Change,Volume,Time
41.14,-0.60%,17728,1425994231435
41.04,-0.85%,382490,1425994291988
41.02,-0.89%,408583,1425994352535
41.06,-0.80%,459468,1425994413079
41.09,-0.72%,479716,1425994473753
41.08,-0.75%,501644,1425994534451
41.01,-0.92%,544565,1425994595605
41.00,-0.94%,685228,1425994656150
41.00,-0.94%,713811,1425994716687
40.99,-0.97%,738227,1425994777355
40.97,-1.01%,766849,1425994838035
40.97,-1.02%,791967,1425994898579
40.96,-1.04%,822484,1425994959133
40.97,-1.01%,854858,1425995019677
40.95,-1.06%,891479,1425995080381
40.93,-1.11%,913598,1425995141053
40.92,-1.14%,987594,1425995201604
40.93,-1.11%,1071553,1425995262150
40.92,-1.14%,1122282,1425995322685
40.91,-1.16%,1149153,1425995383371
40.88,-1.23%,1221046,1425995444049
40.86,-1.28%,1307716,1425995504597
40.84,-1.33%,1398661,1425995565137
40.83,-1.35%,1483622,1425995625717
40.85,-1.32%,1640018,1425995686266
40.86,-1.28%,1679811,1425995746933
40.89,-1.21%,1706030,1425995807479
40.91,-1.16%,1719544,1425995868021
40.88,-1.24%,1755136,1425995928581
40.89,-1.21%,1769815,1425995989126
40.90,-1.18%,1785194,1425996049804
40.92,-1.14%,1820255,1425996110352
40.93,-1.12%,1848789,1425996170892
40.92,-1.14%,1876194,1425996231436
40.92,-1.14%,1895003,1425996291974
40.92,-1.14%,1909052,1425996352664
40.91,-1.16%,1933533,1425996413207
40.90,-1.17%,1953673,1425996473746
40.93,-1.11%,1968917,1425996534286
40.94,-1.08%,1985547,1425996594954
40.95,-1.05%,2002106,1425996655630
40.91,-1.16%,2030269,1425996716177
40.90,-1.19%,2055682,1425996776726
40.89,-1.20%,2074512,1425996837270
40.90,-1.19%,2118904,1425996897956
40.86,-1.28%,2177369,1425996958824
40.85,-1.30%,2217274,1425997019369
40.87,-1.27%,2229877,1425997079915
40.92,-1.14%,2240216,1425997140467
40.92,-1.14%,2255455,1425997201139
40.91,-1.16%,2276600,1425997261823
40.93,-1.11%,2284389,1425997322367
40.92,-1.15%,2301301,1425997382912
40.91,-1.17%,2315785,1425997443458
40.91,-1.17%,2321709,1425997504125
40.90,-1.18%,2393306,1425997564816
40.92,-1.14%,2422055,1425997625358
40.90,-1.18%,2468795,1425997685907
40.92,-1.14%,2474125,1425997746458
40.93,-1.11%,2500583,1425997807125
40.95,-1.06%,2529920,1425997867810
40.94,-1.09%,2563730,1425997928350
40.94,-1.10%,2587571,1425997988894
40.95,-1.06%,2652223,1425998049444
40.95,-1.06%,2685592,1425998110136
40.95,-1.06%,2719021,1425998170817
40.94,-1.09%,2770463,1425998231352
40.94,-1.10%,2773131,1425998291903
40.91,-1.16%,2796304,1425998352442
40.94,-1.09%,2832102,1425998413128
40.95,-1.06%,2842513,1425998473795
40.97,-1.00%,2883812,1425998534350
40.95,-1.06%,2956809,1425998594886
40.96,-1.05%,2981669,1425998655436
40.95,-1.06%,2999076,1425998716104
40.98,-0.99%,3013187,1425998776796
40.98,-0.99%,3063352,1425998837343
40.96,-1.04%,3079891,1425998897891
40.96,-1.04%,3094075,1425998958439
40.97,-1.00%,3123571,1425999019118
41.00,-0.94%,3165042,1425999079793
41.01,-0.91%,3173067,1425999140346
41.04,-0.85%,3201231,1425999200889
41.05,-0.82%,3209061,1425999261441
41.04,-0.85%,3229863,1425999322135
41.07,-0.77%,3247619,1425999382801
41.05,-0.82%,3267375,1425999443352
41.01,-0.92%,3304243,1425999503900
41.02,-0.89%,3323503,1425999564447
41.01,-0.93%,3389285,1425999625133
41.01,-0.92%,3407865,1425999685804
41.03,-0.86%,3425275,1425999746348
41.03,-0.87%,3440288,1425999806899
41.03,-0.87%,3444227,1425999867442
41.03,-0.88%,3446287,1425999928121
41.03,-0.88%,3479832,1425999988798
41.03,-0.88%,3508045,1426000049339
41.03,-0.88%,3532526,1426000109878
41.00,-0.93%,3588192,1426000170425
