Price,Change,Volume,Time
96.76,-0.97%,187504,1425994231436
96.48,-1.26%,231100,1425994291988
96.40,-1.34%,263935,1425994352535
96.86,-0.87%,296613,1425994413079
96.92,-0.81%,313020,1425994473754
97.02,-0.71%,326276,1425994534452
96.96,-0.77%,367002,1425994595605
97.00,-0.73%,376436,1425994656150
97.08,-0.64%,408257,1425994716687
97.10,-0.63%,431593,1425994777355
96.99,-0.74%,460447,1425994838035
97.00,-0.73%,477518,1425994898579
97.00,-0.73%,487346,1425994959133
97.00,-0.73%,502017,1425995019677
96.95,-0.78%,537790,1425995080381
96.82,-0.91%,552041,1425995141053
96.75,-0.98%,564859,1425995201604
96.73,-1.00%,578703,1425995262151
96.68,-1.05%,599520,1425995322685
96.54,-1.20%,622343,1425995383371
96.47,-1.27%,639521,1425995444049
96.36,-1.38%,669224,1425995504597
96.47,-1.27%,689085,1425995565137
96.47,-1.27%,698854,1425995625717
96.56,-1.18%,722853,1425995686266
96.70,-1.03%,743578,1425995746933
96.75,-0.98%,766624,1425995807479
96.70,-1.03%,774291,1425995868021
96.86,-0.87%,800049,1425995928581
96.94,-0.79%,838649,1425995989126
96.81,-0.92%,853272,1425996049804
96.70,-1.03%,867220,1425996110352
96.72,-1.01%,877128,1425996170892
96.73,-1.00%,886472,1425996231436
96.81,-0.92%,894997,1425996291974
96.78,-0.95%,903243,1425996352664
96.92,-0.81%,922421,1425996413207
96.86,-0.87%,935677,1425996473747
96.93,-0.80%,943462,1425996534286
96.96,-0.77%,973145,1425996594954
96.99,-0.74%,993195,1425996655630
96.97,-0.76%,1016941,1425996716177
96.95,-0.78%,1036013,1425996776726
96.89,-0.83%,1072281,1425996837270
96.94,-0.79%,1087054,1425996897956
96.93,-0.80%,1102747,1425996958824
96.90,-0.83%,1127980,1425997019369
96.92,-0.81%,1137622,1425997079915
96.91,-0.82%,1144663,1425997140467
96.91,-0.82%,1162649,1425997201139
96.98,-0.75%,1196272,1425997261823
96.92,-0.81%,1204737,1425997322367
96.93,-0.80%,1214574,1425997382913
96.90,-0.83%,1233782,1425997443458
96.91,-0.82%,1243793,1425997504125
96.90,-0.83%,1263969,1425997564816
96.88,-0.85%,1285954,1425997625359
96.85,-0.88%,1301541,1425997685907
96.84,-0.89%,1315315,1425997746458
96.88,-0.85%,1330231,1425997807125
96.87,-0.86%,1340230,1425997867810
96.85,-0.88%,1348759,1425997928350
96.80,-0.93%,1390978,1425997988894
96.82,-0.91%,1414244,1425998049444
96.80,-0.93%,1426870,1425998110136
96.87,-0.86%,1440281,1425998170817
96.81,-0.92%,1453144,1425998231352
96.80,-0.93%,1461097,1425998291903
96.80,-0.93%,1477304,1425998352443
96.79,-0.94%,1491621,1425998413128
96.79,-0.94%,1504436,1425998473795
96.86,-0.87%,1523616,1425998534350
96.90,-0.83%,1538640,1425998594886
96.90,-0.83%,1551013,1425998655436
96.86,-0.86%,1565748,1425998716104
96.98,-0.75%,1571947,1425998776796
96.97,-0.76%,1593678,1425998837343
96.94,-0.79%,1606118,1425998897891
96.86,-0.87%,1624368,1425998958439
96.91,-0.82%,1630123,1425999019118
96.91,-0.82%,1635083,1425999079793
96.87,-0.86%,1653204,1425999140346
96.90,-0.83%,1665021,1425999200889
96.87,-0.86%,1669571,1425999261441
96.82,-0.91%,1676230,1425999322135
96.81,-0.92%,1692670,1425999382801
96.80,-0.93%,1697099,1425999443352
96.77,-0.96%,1707829,1425999503900
96.86,-0.87%,1721602,1425999564447
96.89,-0.84%,1757365,1425999625134
96.87,-0.86%,1772376,1425999685804
96.89,-0.84%,1802673,1425999746348
96.90,-0.83%,1813266,1425999806899
96.92,-0.81%,1821065,1425999867442
96.86,-0.87%,1831341,1425999928121
96.88,-0.85%,1843086,1425999988798
96.87,-0.86%,1863119,1426000049340
96.91,-0.82%,1868743,1426000109878
96.88,-0.85%,1881041,1426000170425
96.86,-0.86%,1888552,1426000231184
96.83,-0.90%,1894721,1426000291851
96.91,-0.82%,1915485,1426000352401
96.93,-0.80%,1920685,1426000412947
96.94,-0.79%,1927482,1426000473494
96.93,-0.80%,1936625,1426000534168
96.94,-0.79%,1943126,1426000594846
96.93,-0.80%,1950120,1426000655394
96.91,-0.82%,1955770,1426000715949
96.91,-0.82%,1963840,1426000776488
96.92,-0.81%,1974102,1426000837164
96.94,-0.79%,1994042,1426000897852
96.98,-0.75%,2000905,1426000958404
97.03,-0.70%,2038047,1426001018945
97.06,-0.67%,2043495,1426001079490
97.03,-0.70%,2055640,1426001140170
97.03,-0.70%,2064377,1426001200864
97.03,-0.70%,2068224,1426001261450
96.91,-0.82%,2076332,1426001321998
