Price,Change,Volume,Time
164.39,-1.19%,7225,1425994231436
164.55,-1.09%,7572,1425994291989
164.20,-1.30%,13674,1425994352535
164.30,-1.24%,74138,1425994413080
164.00,-1.42%,88008,1425994473754
164.38,-1.20%,92885,1425994534452
164.39,-1.19%,99960,1425994595605
164.56,-1.09%,109728,1425994656150
164.38,-1.20%,112390,1425994716687
164.25,-1.27%,117092,1425994777355
164.23,-1.29%,124445,1425994838035
164.25,-1.27%,127885,1425994898579
164.32,-1.23%,130599,1425994959133
164.06,-1.39%,148070,1425995019677
164.12,-1.35%,152143,1425995080381
163.98,-1.44%,158255,1425995141053
163.86,-1.51%,161320,1425995201604
164.01,-1.42%,164622,1425995262151
164.05,-1.39%,167752,1425995322686
164.02,-1.41%,169574,1425995383371
163.82,-1.53%,172196,1425995444050
163.78,-1.56%,177437,1425995504598
163.90,-1.48%,182248,1425995565137
163.96,-1.45%,185054,1425995625717
163.91,-1.48%,188480,1425995686266
163.91,-1.48%,193496,1425995746933
164.02,-1.41%,197387,1425995807480
164.07,-1.38%,204797,1425995868022
163.92,-1.47%,211019,1425995928581
163.85,-1.51%,213721,1425995989126
163.82,-1.53%,219171,1425996049804
163.97,-1.44%,225497,1425996110352
163.89,-1.49%,229321,1425996170892
163.86,-1.51%,232636,1425996231437
163.95,-1.46%,236240,1425996291974
163.89,-1.49%,240843,1425996352664
163.90,-1.48%,243317,1425996413207
163.84,-1.52%,246457,1425996473747
163.89,-1.49%,249370,1425996534286
163.78,-1.56%,252270,1425996594954
163.87,-1.50%,253677,1425996655630
163.78,-1.56%,258362,1425996716177
163.69,-1.61%,277053,1425996776726
163.65,-1.63%,283273,1425996837270
163.62,-1.65%,287878,1425996897956
163.50,-1.73%,290771,1425996958824
163.42,-1.77%,297131,1425997019370
163.42,-1.77%,304063,1425997079916
163.57,-1.68%,309465,1425997140467
163.65,-1.63%,311340,1425997201139
163.55,-1.70%,314524,1425997261824
163.66,-1.63%,316894,1425997322367
163.64,-1.64%,322378,1425997382913
163.61,-1.66%,325604,1425997443458
163.58,-1.68%,333580,1425997504125
163.57,-1.68%,338445,1425997564816
163.57,-1.68%,341981,1425997625359
163.39,-1.79%,348161,1425997685908
163.49,-1.73%,353814,1425997746458
163.56,-1.69%,361738,1425997807126
163.45,-1.76%,366645,1425997867810
163.44,-1.76%,373780,1425997928350
163.50,-1.73%,379895,1425997988894
163.42,-1.77%,388896,1425998049445
163.38,-1.80%,395853,1425998110137
163.39,-1.79%,401360,1425998170817
163.24,-1.88%,405778,1425998231352
163.22,-1.89%,409523,1425998291903
163.24,-1.88%,414358,1425998352443
163.31,-1.84%,422870,1425998413128
163.31,-1.84%,431828,1425998473795
163.44,-1.76%,439059,1425998534350
163.37,-1.80%,444133,1425998594886
163.40,-1.79%,446515,1425998655436
163.50,-1.73%,449288,1425998716105
163.57,-1.68%,453065,1425998776796
163.56,-1.69%,456206,1425998837343
163.60,-1.66%,458917,1425998897891
163.56,-1.69%,462366,1425998958439
163.58,-1.68%,465815,1425999019118
163.55,-1.70%,475464,1425999079793
163.57,-1.68%,477372,1425999140347
163.68,-1.62%,486387,1425999200889
163.79,-1.55%,489110,1425999261441
163.79,-1.55%,494030,1425999322135
163.78,-1.56%,498510,1425999382801
163.79,-1.55%,500874,1425999443352
163.71,-1.60%,505455,1425999503900
163.74,-1.58%,507590,1425999564447
163.65,-1.63%,521662,1425999625134
163.70,-1.60%,524728,1425999685804
163.87,-1.50%,530344,1425999746348
163.85,-1.51%,532614,1425999806899
163.86,-1.51%,534625,1425999867442
163.79,-1.55%,537684,1425999928121
163.83,-1.53%,539152,1425999988798
163.83,-1.53%,540918,1426000049340
163.84,-1.52%,543249,1426000109878
163.87,-1.50%,547557,1426000170425
163.85,-1.51%,550519,1426000231184
163.82,-1.53%,552632,1426000291851
163.87,-1.50%,556689,1426000352401
163.88,-1.50%,563273,1426000412947
163.98,-1.44%,573472,1426000473494
163.98,-1.44%,583570,1426000534168
163.99,-1.43%,586481,1426000594846
164.05,-1.39%,592508,1426000655394
164.06,-1.39%,594953,1426000715949
164.14,-1.34%,598406,1426000776488
164.15,-1.33%,605877,1426000837165
164.19,-1.31%,610367,1426000897852
164.18,-1.32%,613283,1426000958405
164.21,-1.30%,616198,1426001018945
164.16,-1.33%,618637,1426001079490
164.13,-1.35%,626204,1426001140170
164.26,-1.27%,633663,1426001200864
164.29,-1.25%,639605,1426001261451
164.25,-1.27%,646780,1426001321998
164.24,-1.28%,651854,1426001382550
164.26,-1.27%,656268,1426001443221
164.25,-1.27%,657491,1426001503910
164.24,-1.28%,662580,1426001564456
164.16,-1.33%,670542,1426001624991
164.13,-1.35%,673782,1426001685533
164.10,-1.36%,675936,1426001746200
164.10,-1.36%,678077,1426001806879
164.04,-1.40%,682314,1426001867419
164.02,-1.41%,685668,1426001927952
164.05,-1.39%,689745,1426001988507
164.07,-1.38%,693300,1426002049184
164.06,-1.39%,694664,1426002109853
164.01,-1.42%,697569,1426002170396
163.90,-1.48%,701842,1426002230951
163.96,-1.45%,705083,1426002291491
163.90,-1.48%,709619,1426002352173
163.84,-1.52%,714144,1426002412852
163.88,-1.50%,714992,1426002473395
163.90,-1.48%,717463,1426002533935
163.89,-1.49%,721252,1426002594478
163.80,-1.54%,724334,1426002655150
163.84,-1.52%,726430,1426002715830
163.79,-1.55%,732176,1426002776367
163.84,-1.52%,733728,1426002836913
163.68,-1.62%,740568,1426002897458
163.75,-1.57%,743459,1426002958155
163.76,-1.57%,749665,1426003018849
163.65,-1.63%,756895,1426003079394
163.63,-1.65%,761268,1426003139940
163.48,-1.74%,769942,1426003200480
163.35,-1.82%,772286,1426003261061
163.37,-1.81%,774320,1426003321751
163.36,-1.81%,778730,1426003382289
163.37,-1.80%,781307,1426003442830
163.42,-1.77%,783182,1426003503386
163.34,-1.82%,785721,1426003564057
163.37,-1.80%,790603,1426003624761
163.42,-1.77%,792560,1426003685304
163.45,-1.76%,797162,1426003745853
163.44,-1.76%,802138,1426003806395
163.43,-1.77%,805349,1426003867077
163.50,-1.73%,814344,1426003927750
163.55,-1.70%,816640,1426003988304
163.50,-1.72%,820740,1426004048847
163.55,-1.70%,821079,1426004109396
163.56,-1.69%,823054,1426004170076
163.46,-1.75%,826693,1426004230748
163.49,-1.73%,828937,1426004291369
163.46,-1.75%,831527,1426004351930
163.44,-1.76%,834957,1426004412466
163.38,-1.80%,837610,1426004473147
163.30,-1.85%,839226,1426004533817
163.32,-1.83%,841424,1426004594378
163.30,-1.85%,844190,1426004654923
163.22,-1.89%,852475,1426004715459
163.16,-1.93%,854790,1426004776136
163.26,-1.87%,858653,1426004836827
163.26,-1.87%,859971,1426004897394
163.26,-1.87%,867528,1426004957935
163.17,-1.92%,869517,1426005018479
163.24,-1.88%,878196,1426005079145
163.21,-1.90%,880258,1426005139827
163.22,-1.89%,883138,1426005200367
163.15,-1.94%,886081,1426005260917
163.21,-1.90%,888524,1426005321462
163.30,-1.85%,891869,1426005382140
163.28,-1.86%,893003,1426005442831
163.34,-1.82%,895163,1426005503379
163.42,-1.77%,896077,1426005563921
163.43,-1.77%,897699,1426005624474
163.46,-1.75%,902628,1426005685156
163.48,-1.74%,905321,1426005745831
163.43,-1.77%,912270,1426005806379
163.54,-1.70%,918575,1426005866918
163.53,-1.71%,921875,1426005927475
163.40,-1.79%,926121,1426005988152
163.45,-1.76%,928355,1426006048823
163.46,-1.75%,929350,1426006109371
163.33,-1.83%,932629,1426006169920
163.37,-1.80%,934497,1426006230458
163.32,-1.83%,936286,1426006291163
163.30,-1.85%,938199,1426006351868
163.34,-1.82%,939135,1426006412402
163.35,-1.82%,941500,1426006472942
163.32,-1.83%,948038,1426006533490
163.34,-1.82%,951707,1426006594175
163.35,-1.82%,978915,1426006654855
163.43,-1.77%,981685,1426006715388
163.41,-1.78%,983567,1426006775936
163.35,-1.82%,988358,1426006836490
163.36,-1.81%,990823,1426006897156
163.39,-1.79%,993327,1426006957840
163.33,-1.83%,995508,1426007018405
163.39,-1.79%,997367,1426007078953
163.40,-1.79%,998864,1426007139515
163.50,-1.73%,1002159,1426007200193
163.42,-1.77%,1005679,1426007260884
163.35,-1.82%,1008738,1426007321443
163.40,-1.79%,1009822,1426007381986
163.31,-1.84%,1011967,1426007442529
163.29,-1.85%,1012655,1426007503208
163.33,-1.83%,1013536,1426007563874
163.39,-1.79%,1016080,1426007624421
163.34,-1.82%,1018293,1426007684966
163.34,-1.82%,1019560,1426007745518
163.35,-1.82%,1022268,1426007806190
163.38,-1.80%,1023983,1426007866861
163.40,-1.79%,1034182,1426007927423
163.45,-1.76%,1036208,1426007987965
163.49,-1.73%,1042931,1426008048509
163.56,-1.69%,1056108,1426008109188
163.55,-1.70%,1060989,1426008169875
163.49,-1.73%,1063244,1426008230413
163.50,-1.72%,1065721,1426008290957
163.50,-1.73%,1067400,1426008351613
163.51,-1.72%,1068765,1426008412287
163.48,-1.74%,1074372,1426008472967
163.45,-1.76%,1099256,1426008533510
163.45,-1.76%,1102159,1426008594062
163.45,-1.76%,1108016,1426008654602
163.47,-1.74%,1132108,1426008715270
163.40,-1.79%,1142885,1426008775960
163.46,-1.75%,1148132,1426008836519
163.48,-1.74%,1150071,1426008897067
163.42,-1.77%,1153780,1426008957622
163.43,-1.77%,1157406,1426009018288
163.42,-1.77%,1159603,1426009078959
163.37,-1.80%,1162510,1426009139500
163.37,-1.80%,1167990,1426009200049
163.33,-1.83%,1171117,1426009260593
163.38,-1.80%,1173751,1426009321276
163.33,-1.83%,1176352,1426009381949
163.34,-1.82%,1177285,1426009442494
163.34,-1.82%,1180087,1426009503040
163.35,-1.82%,1181255,1426009563586
163.39,-1.79%,1183349,1426009624261
163.40,-1.79%,1184797,1426009684942
163.44,-1.76%,1186895,1426009745488
163.41,-1.78%,1188802,1426009806031
163.38,-1.80%,1190565,1426009866581
163.38,-1.80%,1192273,1426009927272
163.38,-1.80%,1195401,1426009988031
163.41,-1.78%,1198587,1426010048566
163.38,-1.80%,1199944,1426010109112
163.38,-1.80%,1200609,1426010169647
163.34,-1.82%,1205402,1426010230323
163.36,-1.81%,1207061,1426010291002
163.38,-1.80%,1211457,1426010351550
163.33,-1.83%,1215408,1426010412093
163.30,-1.85%,1217794,1426010472644
163.30,-1.85%,1218622,1426010533320
163.28,-1.86%,1220374,1426010594014
163.33,-1.83%,1225362,1426010654560
163.32,-1.83%,1227695,1426010715103
163.39,-1.79%,1232542,1426010775635
163.38,-1.80%,1235530,1426010836315
163.41,-1.78%,1242754,1426010896997
163.40,-1.79%,1246753,1426010957547
163.42,-1.77%,1248406,1426011018095
163.42,-1.77%,1254369,1426011078643
163.40,-1.79%,1255910,1426011139322
163.30,-1.85%,1259385,1426011199993
163.18,-1.92%,1268874,1426011260542
163.16,-1.93%,1274296,1426011321085
163.20,-1.91%,1275729,1426011381630
163.17,-1.92%,1277138,1426011442294
163.15,-1.94%,1278577,1426011502976
163.08,-1.98%,1281173,1426011563513
163.09,-1.97%,1283790,1426011624056
163.03,-2.01%,1305016,1426011684599
163.07,-1.98%,1308762,1426011745282
163.01,-2.02%,1315769,1426011805951
162.95,-2.06%,1319160,1426011866500
162.94,-2.06%,1323329,1426011927038
162.94,-2.06%,1326774,1426011987585
162.97,-2.04%,1333079,1426012048274
162.99,-2.03%,1335378,1426012108951
162.92,-2.07%,1337938,1426012169495
162.92,-2.07%,1342140,1426012230050
162.93,-2.07%,1345447,1426012290594
163.04,-2.00%,1350604,1426012351290
163.03,-2.01%,1355853,1426012411983
163.05,-2.00%,1357767,1426012472518
163.01,-2.02%,1360643,1426012533065
163.03,-2.01%,1366494,1426012593608
162.96,-2.05%,1370896,1426012654275
162.97,-2.04%,1372325,1426012714952
162.95,-2.06%,1374572,1426012775492
162.96,-2.05%,1376237,1426012836029
162.92,-2.07%,1380724,1426012896571
162.94,-2.06%,1385450,1426012957260
162.94,-2.06%,1387935,1426013017944
162.99,-2.03%,1390947,1426013078485
163.06,-1.99%,1394143,1426013139033
163.13,-1.95%,1397665,1426013199576
163.15,-1.94%,1402502,1426013260251
163.17,-1.92%,1406282,1426013320925
163.10,-1.97%,1439216,1426013381467
163.07,-1.98%,1443220,1426013442005
163.09,-1.97%,1445016,1426013502568
163.14,-1.94%,1446306,1426013563249
163.14,-1.94%,1448285,1426013623929
163.11,-1.96%,1451792,1426013684465
162.94,-2.06%,1458839,1426013745011
162.93,-2.07%,1461374,1426013805557
162.93,-2.07%,1463667,1426013866229
162.97,-2.04%,1467189,1426013928194
162.96,-2.05%,1467945,1426013988737
162.85,-2.12%,1473586,1426014049419
162.95,-2.06%,1479205,1426014109967
162.95,-2.06%,1480742,1426014170647
162.98,-2.04%,1486516,1426014231186
162.95,-2.06%,1496564,1426014291729
162.92,-2.07%,1501457,1426014352420
162.91,-2.08%,1507294,1426014412984
162.98,-2.04%,1509726,1426014473653
163.05,-2.00%,1512474,1426014534199
163.04,-2.00%,1517398,1426014594743
163.04,-2.00%,1519926,1426014655416
163.00,-2.03%,1527193,1426014715957
162.99,-2.03%,1531154,1426014776634
162.98,-2.04%,1535411,1426014837180
163.01,-2.02%,1538002,1426014897739
163.04,-2.00%,1544072,1426014958427
163.01,-2.02%,1549777,1426015018975
163.09,-1.97%,1552247,1426015080656
163.15,-1.94%,1557626,1426015141198
