Price,Change,Volume,Time
56.95,-0.54%,7676,1425994231437
56.81,-0.79%,21185,1425994291989
56.76,-0.87%,29451,1425994352535
56.83,-0.75%,200936,1425994413080
56.82,-0.77%,238254,1425994473754
56.91,-0.61%,273827,1425994534452
56.88,-0.66%,340259,1425994595605
56.90,-0.63%,374970,1425994656150
56.89,-0.65%,399922,1425994716687
56.87,-0.68%,425388,1425994777355
56.85,-0.72%,453213,1425994838035
56.83,-0.75%,482620,1425994898579
56.81,-0.79%,575297,1425994959133
56.79,-0.82%,606872,1425995019677
56.84,-0.73%,672247,1425995080381
56.75,-0.89%,735796,1425995141053
56.73,-0.93%,751362,1425995201604
56.74,-0.91%,759008,1425995262151
56.71,-0.96%,776446,1425995322686
56.81,-0.79%,801183,1425995383371
56.80,-0.80%,822033,1425995444050
56.82,-0.77%,846446,1425995504598
56.87,-0.68%,859357,1425995565137
56.92,-0.59%,875104,1425995625717
56.94,-0.56%,898967,1425995686266
57.01,-0.44%,933038,1425995746934
57.03,-0.39%,949001,1425995807480
57.03,-0.40%,961496,1425995868022
57.05,-0.37%,982739,1425995928581
56.99,-0.47%,996738,1425995989127
57.03,-0.40%,1006615,1425996049804
57.10,-0.28%,1028929,1425996110353
57.09,-0.30%,1054430,1425996170892
57.06,-0.35%,1072313,1425996231437
57.02,-0.42%,1090207,1425996291974
57.07,-0.33%,1107597,1425996352664
57.11,-0.25%,1125001,1425996413207
57.13,-0.22%,1151230,1425996473747
57.19,-0.13%,1194255,1425996534286
57.19,-0.12%,1239881,1425996594954
57.17,-0.16%,1259488,1425996655630
57.13,-0.23%,1279624,1425996716178
57.17,-0.16%,1299587,1425996776726
57.10,-0.28%,1313122,1425996837270
57.05,-0.37%,1327486,1425996897957
57.00,-0.45%,1376718,1425996958824
56.99,-0.47%,1387078,1425997019370
57.01,-0.44%,1396304,1425997079916
57.06,-0.35%,1423900,1425997140467
57.08,-0.32%,1441163,1425997201139
57.02,-0.42%,1467640,1425997261824
57.03,-0.40%,1480048,1425997322367
57.01,-0.44%,1488636,1425997382913
57.02,-0.42%,1500532,1425997443458
57.00,-0.45%,1526074,1425997504125
57.02,-0.42%,1543181,1425997564816
57.03,-0.40%,1548814,1425997625359
57.00,-0.45%,1576613,1425997685908
57.01,-0.43%,1601811,1425997746458
57.04,-0.38%,1622806,1425997807126
57.04,-0.38%,1647344,1425997867810
57.02,-0.42%,1658521,1425997928350
57.07,-0.33%,1678599,1425997988894
57.04,-0.38%,1691456,1425998049445
56.99,-0.47%,1713168,1425998110137
57.02,-0.42%,1753881,1425998170817
56.98,-0.50%,1774923,1425998231352
56.98,-0.49%,1784214,1425998291904
57.00,-0.45%,1801359,1425998352443
57.03,-0.40%,1827446,1425998413128
57.05,-0.37%,1837616,1425998473796
57.06,-0.35%,1864371,1425998534351
57.02,-0.42%,1888872,1425998594886
56.98,-0.49%,1915561,1425998655436
56.96,-0.52%,1966053,1425998716105
57.00,-0.45%,2019711,1425998776796
56.93,-0.58%,2053358,1425998837343
56.93,-0.58%,2062355,1425998897891
56.93,-0.58%,2093887,1425998958440
56.94,-0.56%,2126420,1425999019118
57.00,-0.45%,2160403,1425999079793
56.99,-0.47%,2176797,1425999140347
57.06,-0.35%,2191101,1425999200889
57.07,-0.33%,2207362,1425999261441
57.08,-0.31%,2226866,1425999322135
57.10,-0.28%,2257072,1425999382801
57.14,-0.21%,2265888,1425999443352
57.12,-0.24%,2288104,1425999503900
57.07,-0.33%,2298891,1425999564447
57.05,-0.37%,2376289,1425999625134
57.08,-0.31%,2397292,1425999685804
57.14,-0.21%,2448229,1425999746348
57.11,-0.26%,2475639,1425999806899
57.15,-0.20%,2486828,1425999867442
57.11,-0.26%,2515425,1425999928122
57.12,-0.24%,2526698,1425999988799
57.13,-0.23%,2546260,1426000049340
57.10,-0.28%,2554740,1426000109878
57.07,-0.33%,2572494,1426000170425
57.06,-0.35%,2580406,1426000231184
57.08,-0.31%,2590167,1426000291851
57.06,-0.36%,2597180,1426000352401
57.09,-0.30%,2629535,1426000412947
57.14,-0.21%,2655524,1426000473494
57.15,-0.20%,2661694,1426000534168
57.14,-0.22%,2696182,1426000594847
57.12,-0.24%,2725928,1426000655395
57.12,-0.24%,2757350,1426000715949
57.15,-0.19%,2776231,1426000776488
57.15,-0.19%,2804841,1426000837165
57.15,-0.18%,2829122,1426000897852
57.16,-0.17%,2844244,1426000958405
57.14,-0.21%,2865446,1426001018945
57.13,-0.23%,2882202,1426001079490
57.10,-0.27%,2901087,1426001140170
57.14,-0.21%,2932599,1426001200864
