Price,Change,Volume,Time
42.31,-1.26%,570633,1425994231438
42.35,-1.17%,734901,1425994291989
42.39,-1.07%,830985,1425994352535
42.48,-0.86%,985488,1425994413080
42.47,-0.89%,1099116,1425994473754
42.56,-0.67%,1182168,1425994534452
42.54,-0.72%,1323841,1425994595606
42.51,-0.79%,1545893,1425994656150
42.58,-0.63%,1722103,1425994716687
42.63,-0.51%,1849265,1425994777356
42.68,-0.40%,2139456,1425994838036
42.62,-0.54%,2251010,1425994898579
42.60,-0.58%,2330095,1425994959133
42.58,-0.63%,2415959,1425995019678
42.65,-0.47%,2509858,1425995080382
42.54,-0.72%,2619859,1425995141053
42.48,-0.87%,2780770,1425995201604
42.47,-0.88%,2884674,1425995262151
42.50,-0.82%,3026177,1425995322686
42.49,-0.83%,3100251,1425995383371
42.45,-0.93%,3254823,1425995444050
42.46,-0.91%,3370710,1425995504598
42.51,-0.79%,3456611,1425995565137
42.54,-0.72%,3536193,1425995625717
42.49,-0.84%,3658633,1425995686266
42.51,-0.78%,3747490,1425995746934
42.53,-0.75%,3815763,1425995807480
42.51,-0.79%,3891427,1425995868022
42.50,-0.82%,4060596,1425995928581
42.47,-0.89%,4166196,1425995989127
42.51,-0.79%,4295680,1425996049804
42.52,-0.77%,4369535,1425996110353
42.50,-0.82%,4436634,1425996170892
42.50,-0.82%,4581057,1425996231437
42.53,-0.76%,4633051,1425996291974
42.49,-0.84%,4700540,1425996352664
42.50,-0.82%,4751795,1425996413207
42.52,-0.78%,4905508,1425996473747
42.51,-0.78%,4964035,1425996534287
42.52,-0.77%,5062511,1425996594955
42.51,-0.79%,5097295,1425996655630
42.44,-0.96%,5292770,1425996716178
42.46,-0.91%,5352308,1425996776726
42.46,-0.91%,5437360,1425996837270
42.44,-0.95%,5575116,1425996897957
42.44,-0.96%,5738732,1425996958825
42.41,-1.03%,5981623,1425997019370
42.44,-0.96%,6065252,1425997079916
42.49,-0.84%,6128337,1425997140467
42.45,-0.93%,6208665,1425997201140
42.42,-0.99%,6248375,1425997261824
42.40,-1.05%,6312828,1425997322367
42.40,-1.04%,6411419,1425997382913
42.41,-1.03%,6517622,1425997443458
42.38,-1.10%,6556884,1425997504125
42.44,-0.96%,6656365,1425997564816
42.42,-1.02%,6715651,1425997625359
42.37,-1.13%,6820625,1425997685908
42.40,-1.06%,6904480,1425997746458
42.40,-1.05%,7083768,1425997807126
42.36,-1.14%,7165379,1425997867810
42.37,-1.12%,7175527,1425997928350
42.39,-1.07%,7298028,1425997988895
42.37,-1.12%,7340042,1425998049445
42.36,-1.14%,7390744,1425998110137
42.36,-1.14%,7464713,1425998170818
42.33,-1.20%,7562704,1425998231352
42.33,-1.21%,7581364,1425998291904
42.33,-1.21%,7763737,1425998352443
42.36,-1.14%,7892785,1425998413128
42.39,-1.07%,7943061,1425998473796
42.39,-1.07%,8089930,1425998534351
