Price,Change,Volume,Time
96.43,-1.03%,4313,1425994231438
96.40,-1.06%,13756,1425994291989
96.32,-1.14%,92206,1425994352535
96.34,-1.12%,107568,1425994413080
96.41,-1.05%,110666,1425994473754
96.74,-0.71%,144889,1425994534452
96.74,-0.71%,155346,1425994595606
96.59,-0.86%,162547,1425994656150
96.60,-0.85%,168313,1425994716688
96.60,-0.85%,175631,1425994777356
96.61,-0.84%,201917,1425994838036
96.72,-0.73%,242026,1425994898579
96.65,-0.80%,255522,1425994959133
96.59,-0.86%,260219,1425995019678
96.64,-0.81%,271726,1425995080382
96.57,-0.88%,279206,1425995141053
96.55,-0.90%,287221,1425995201604
96.52,-0.93%,290920,1425995262151
96.65,-0.80%,334253,1425995322686
96.65,-0.80%,339612,1425995383372
96.52,-0.93%,351319,1425995444050
96.50,-0.95%,366538,1425995504598
96.63,-0.82%,382452,1425995565137
96.70,-0.75%,387658,1425995625718
96.65,-0.80%,393374,1425995686266
96.66,-0.79%,410749,1425995746934
96.75,-0.70%,425543,1425995807480
96.72,-0.73%,430036,1425995868022
96.72,-0.73%,435240,1425995928582
96.74,-0.71%,444784,1425995989127
96.68,-0.77%,455977,1425996049804
96.66,-0.79%,458164,1425996110353
96.70,-0.75%,471335,1425996170892
96.71,-0.74%,480141,1425996231437
96.70,-0.75%,485737,1425996291974
96.70,-0.75%,488366,1425996352664
96.69,-0.76%,491974,1425996413207
96.69,-0.76%,496790,1425996473747
96.71,-0.74%,504031,1425996534287
96.66,-0.79%,510359,1425996594955
96.68,-0.77%,515589,1425996655631
96.61,-0.84%,524089,1425996716178
96.68,-0.77%,531507,1425996776726
96.68,-0.77%,538024,1425996837270
96.67,-0.78%,557329,1425996897957
96.60,-0.85%,574150,1425996958825
96.53,-0.92%,588623,1425997019370
96.53,-0.92%,592881,1425997079917
96.51,-0.94%,598738,1425997140467
96.51,-0.94%,604498,1425997201140
96.43,-1.02%,608315,1425997261824
96.53,-0.92%,621138,1425997322367
96.50,-0.95%,627145,1425997382913
96.55,-0.90%,639915,1425997443458
96.61,-0.84%,660459,1425997504125
96.65,-0.80%,669040,1425997564816
96.61,-0.84%,670866,1425997625359
96.53,-0.92%,679560,1425997685908
96.62,-0.83%,683278,1425997746458
96.66,-0.79%,685074,1425997807126
96.57,-0.88%,690000,1425997867810
96.60,-0.85%,694429,1425997928350
96.64,-0.81%,697628,1425997988895
96.61,-0.84%,705252,1425998049445
96.61,-0.84%,714033,1425998110137
96.60,-0.85%,726907,1425998170818
96.53,-0.92%,749804,1425998231352
96.53,-0.92%,755711,1425998291904
96.53,-0.92%,793723,1425998352443
96.55,-0.90%,816499,1425998413129
96.55,-0.90%,823437,1425998473796
96.57,-0.88%,828760,1425998534351
96.53,-0.92%,835630,1425998594886
96.54,-0.91%,838837,1425998655436
96.53,-0.92%,843197,1425998716105
96.54,-0.91%,847201,1425998776796
96.49,-0.96%,854716,1425998837343
96.48,-0.98%,857697,1425998897892
96.44,-1.02%,869365,1425998958440
96.43,-1.03%,874179,1425999019118
96.51,-0.94%,878743,1425999079793
96.52,-0.93%,879317,1425999140347
96.62,-0.83%,911362,1425999200889
96.59,-0.86%,915009,1425999261442
96.58,-0.87%,916138,1425999322135
96.61,-0.84%,921501,1425999382801
96.61,-0.84%,923290,1425999443352
96.55,-0.90%,925002,1425999503901
96.61,-0.84%,928029,1425999564447
96.61,-0.84%,944572,1425999625134
96.65,-0.80%,947806,1425999685805
96.72,-0.73%,951438,1425999746348
96.69,-0.76%,951862,1425999806900
96.67,-0.78%,956077,1425999867442
96.61,-0.85%,958945,1425999928122
96.62,-0.83%,961102,1425999988799
96.64,-0.81%,964618,1426000049340
96.62,-0.83%,967250,1426000109878
96.65,-0.80%,969701,1426000170425
96.69,-0.76%,976799,1426000231184
96.67,-0.78%,978907,1426000291851
96.69,-0.76%,982985,1426000352402
96.72,-0.73%,985545,1426000412947
96.73,-0.72%,993094,1426000473494
96.78,-0.67%,997876,1426000534168
96.78,-0.67%,1000486,1426000594847
96.83,-0.62%,1005581,1426000655395
96.87,-0.57%,1010387,1426000715949
96.90,-0.54%,1015396,1426000776489
96.92,-0.52%,1022349,1426000837165
96.96,-0.48%,1024164,1426000897852
