Price,Change,Volume,Time
33.86,-0.50%,49688,1425994231439
33.71,-0.94%,662466,1425994291989
33.70,-0.97%,743778,1425994352536
33.74,-0.85%,812972,1425994413080
33.75,-0.82%,887816,1425994473754
33.75,-0.82%,979390,1425994534452
33.73,-0.88%,1042721,1425994595606
33.76,-0.79%,1105166,1425994656150
33.79,-0.71%,1169769,1425994716688
33.79,-0.69%,1236151,1425994777356
33.83,-0.59%,1313044,1425994838036
33.84,-0.56%,1402696,1425994898580
33.86,-0.51%,1621097,1425994959134
33.86,-0.50%,1732505,1425995019678
33.86,-0.50%,1792569,1425995080382
33.84,-0.56%,1896064,1425995141053
33.85,-0.53%,2034565,1425995201604
33.88,-0.44%,2075648,1425995262151
33.87,-0.47%,2135999,1425995322686
33.89,-0.41%,2179796,1425995383372
33.88,-0.43%,2233954,1425995444050
33.93,-0.29%,2333093,1425995504598
33.95,-0.24%,2436107,1425995565137
33.97,-0.16%,3486058,1425995625718
34.01,-0.04%,3580164,1425995686266
34.02,-0.03%,3660859,1425995746934
34.01,-0.06%,3734287,1425995807480
34.01,-0.07%,3747764,1425995868022
34.01,-0.07%,3808707,1425995928582
34.01,-0.06%,3878120,1425995989127
34.03,0.00%,3900022,1425996049804
34.07,0.12%,3943332,1425996110353
34.06,0.07%,3998842,1425996170892
34.06,0.07%,4037788,1425996231437
34.05,0.06%,4087575,1425996291975
34.08,0.15%,4143541,1425996352664
34.07,0.12%,4192695,1425996413207
34.10,0.19%,4242999,1425996473747
34.10,0.21%,4287837,1425996534287
34.07,0.12%,4323709,1425996594955
34.07,0.10%,4356857,1425996655631
34.03,0.00%,4432460,1425996716178
34.07,0.12%,4488171,1425996776726
34.05,0.06%,4590550,1425996837270
34.05,0.05%,4639610,1425996897957
34.03,0.01%,4762740,1425996958825
34.03,0.01%,4830298,1425997019370
34.03,0.00%,4876809,1425997079917
34.06,0.07%,4903122,1425997140467
34.05,0.06%,4910885,1425997201140
34.06,0.09%,5005758,1425997261824
34.09,0.18%,5032446,1425997322367
34.08,0.16%,5072542,1425997382913
34.10,0.19%,5094939,1425997443459
34.10,0.19%,5113028,1425997504125
34.08,0.16%,5151899,1425997564816
34.07,0.12%,5176744,1425997625359
34.02,-0.04%,5254910,1425997685908
34.06,0.09%,5307706,1425997746458
34.08,0.16%,5343500,1425997807126
34.06,0.10%,5363528,1425997867811
34.04,0.04%,5413396,1425997928350
34.06,0.09%,5446763,1425997988895
34.07,0.12%,5511011,1425998049445
34.04,0.03%,5543997,1425998110137
34.03,0.00%,5590087,1425998170818
34.01,-0.06%,5636111,1425998231352
34.01,-0.06%,5699088,1425998291904
34.01,-0.04%,5745641,1425998352443
34.03,-0.01%,5786661,1425998413129
34.06,0.09%,5810878,1425998473796
34.09,0.18%,5837929,1425998534351
34.09,0.18%,5960363,1425998594887
34.08,0.15%,6028799,1425998655436
34.07,0.11%,6057745,1425998716105
34.06,0.09%,6077047,1425998776797
33.97,-0.18%,6284917,1425998837343
33.95,-0.23%,6395636,1425998897892
33.97,-0.18%,6482115,1425998958440
33.99,-0.12%,6498891,1425999019118
33.99,-0.12%,6588980,1425999079794
33.99,-0.12%,6595698,1425999140347
34.07,0.12%,6667377,1425999200889
34.06,0.10%,6706715,1425999261442
34.06,0.09%,6742854,1425999322135
34.06,0.10%,6777260,1425999382801
34.08,0.15%,6796547,1425999443352
34.07,0.12%,6845344,1425999503901
34.06,0.10%,6879899,1425999564447
34.02,-0.03%,7070370,1425999625134
34.04,0.04%,7096725,1425999685805
34.07,0.12%,7118633,1425999746348
34.05,0.06%,7144673,1425999806900
34.07,0.12%,7186061,1425999867442
34.08,0.13%,7216020,1425999928122
34.07,0.12%,7259884,1425999988799
34.09,0.18%,7298000,1426000049340
34.10,0.19%,7343090,1426000109878
34.10,0.21%,7363766,1426000170425
34.09,0.18%,7424377,1426000231184
34.10,0.19%,7478224,1426000291851
34.10,0.21%,7502678,1426000352402
34.10,0.19%,7518814,1426000412947
34.12,0.26%,7619794,1426000473494
34.12,0.26%,7644179,1426000534168
34.11,0.25%,7702609,1426000594847
34.11,0.24%,7736436,1426000655395
34.10,0.22%,7758200,1426000715950
34.12,0.26%,7786020,1426000776489
34.13,0.29%,7811388,1426000837165
34.13,0.28%,7832289,1426000897853
34.12,0.25%,7876730,1426000958405
34.10,0.22%,7904161,1426001018945
34.09,0.18%,7931856,1426001079490
34.10,0.22%,7980132,1426001140171
34.13,0.28%,8011104,1426001200864
34.12,0.26%,8038406,1426001261451
34.12,0.25%,8081541,1426001321999
34.13,0.28%,8197264,1426001382551
34.12,0.26%,8214382,1426001443221
34.10,0.21%,8234197,1426001503911
34.11,0.24%,8243938,1426001564456
34.12,0.25%,8286842,1426001624992
34.10,0.21%,8354303,1426001685534
34.10,0.19%,8387689,1426001746201
34.10,0.19%,8417502,1426001806879
34.08,0.16%,8478723,1426001867419
34.08,0.15%,8499715,1426001927953
34.08,0.15%,8518463,1426001988507
34.07,0.13%,8579749,1426002049185
34.08,0.13%,8629576,1426002109853
34.05,0.06%,8664960,1426002170396
34.08,0.15%,8735946,1426002230951
34.08,0.15%,8783745,1426002291492
34.04,0.03%,8846511,1426002352173
34.01,-0.06%,8865259,1426002412852
34.02,-0.03%,8882523,1426002473395
34.01,-0.04%,8933106,1426002533936
34.02,-0.03%,8965914,1426002594478
33.99,-0.12%,8995168,1426002655151
33.99,-0.11%,8998292,1426002715831
34.00,-0.09%,9025970,1426002776367
34.01,-0.06%,9062226,1426002836913
34.01,-0.06%,9143072,1426002897458
34.03,0.00%,9198209,1426002958156
34.04,0.03%,9217218,1426003018849
34.04,0.02%,9275561,1426003079394
34.02,-0.03%,9298154,1426003139941
34.00,-0.09%,9454363,1426003200481
33.95,-0.24%,9517695,1426003261062
33.94,-0.26%,9542396,1426003321751
33.92,-0.31%,9652304,1426003382290
33.92,-0.32%,9707422,1426003442830
33.92,-0.32%,9790860,1426003503387
33.90,-0.38%,9813996,1426003564058
33.88,-0.44%,9848566,1426003624762
33.89,-0.41%,9874711,1426003685305
33.89,-0.41%,9900918,1426003745853
33.91,-0.35%,9942595,1426003806395
33.90,-0.40%,9964681,1426003867078
33.90,-0.38%,10001297,1426003927751
33.89,-0.41%,10045273,1426003988305
33.90,-0.40%,10200306,1426004048847
33.88,-0.44%,10223434,1426004109396
33.87,-0.47%,10241816,1426004170077
33.84,-0.56%,10274051,1426004230748
33.83,-0.57%,10324531,1426004291370
33.84,-0.56%,10392120,1426004351930
33.85,-0.54%,10426492,1426004412466
33.83,-0.59%,10508566,1426004473147
33.81,-0.65%,10563899,1426004533817
33.80,-0.68%,10659970,1426004594379
33.80,-0.68%,10727822,1426004654923
33.81,-0.66%,10833452,1426004715459
33.78,-0.72%,10874360,1426004776136
33.82,-0.62%,11411981,1426004836827
33.81,-0.65%,11530373,1426004897395
33.81,-0.65%,11571473,1426004957936
33.79,-0.71%,11706727,1426005018479
33.80,-0.68%,11892767,1426005079145
33.80,-0.68%,11988494,1426005139827
33.80,-0.68%,12034308,1426005200367
33.81,-0.65%,12145086,1426005260918
33.81,-0.65%,12181065,1426005321462
33.83,-0.59%,12225242,1426005382140
33.80,-0.68%,12276020,1426005442831
33.81,-0.66%,12305500,1426005503379
33.81,-0.65%,12328960,1426005563921
33.82,-0.60%,12413776,1426005624475
33.84,-0.55%,12484745,1426005685156
33.83,-0.60%,12528412,1426005745831
33.80,-0.68%,12632760,1426005806379
33.81,-0.63%,12685041,1426005866919
33.81,-0.66%,12762840,1426005927475
33.78,-0.73%,12860737,1426005988152
33.78,-0.72%,12929626,1426006048823
33.78,-0.74%,12963858,1426006109372
33.74,-0.84%,13127239,1426006169920
33.71,-0.96%,13301431,1426006230459
33.69,-1.00%,13516893,1426006291163
33.69,-1.00%,13549683,1426006351869
33.69,-1.00%,13642713,1426006412402
33.71,-0.94%,13668932,1426006472943
33.71,-0.96%,13755193,1426006533490
33.73,-0.88%,13815879,1426006594175
33.74,-0.87%,13854542,1426006654856
33.74,-0.85%,13884781,1426006715388
33.72,-0.91%,14127192,1426006775936
33.72,-0.91%,14233870,1426006836490
33.75,-0.82%,14311510,1426006897157
33.78,-0.73%,14435445,1426006957841
33.76,-0.78%,14474800,1426007018405
33.77,-0.76%,14508404,1426007078953
33.78,-0.75%,14531239,1426007139515
33.79,-0.71%,14549843,1426007200193
33.79,-0.71%,14638273,1426007260884
33.76,-0.79%,14689650,1426007321443
33.75,-0.82%,14724404,1426007381987
33.75,-0.82%,14783157,1426007442530
33.72,-0.91%,14924306,1426007503208
33.70,-0.97%,15005122,1426007563875
33.71,-0.96%,15020131,1426007624421
33.70,-0.98%,15037690,1426007684966
33.69,-0.98%,15053720,1426007745519
33.72,-0.93%,15142414,1426007806190
33.72,-0.90%,15260152,1426007866862
33.72,-0.93%,15276091,1426007927424
33.74,-0.87%,15307203,1426007987966
33.77,-0.77%,15397276,1426008048509
33.78,-0.73%,15440511,1426008109188
33.77,-0.76%,15449801,1426008169876
33.76,-0.79%,15485972,1426008230413
33.77,-0.76%,15524507,1426008290958
33.80,-0.68%,15580524,1426008351614
33.82,-0.62%,15616197,1426008412287
33.81,-0.65%,15625817,1426008472967
33.80,-0.68%,15700121,1426008533511
33.81,-0.66%,15734341,1426008594062
33.81,-0.65%,15769776,1426008654603
33.82,-0.62%,15775262,1426008715271
33.82,-0.62%,15828861,1426008775961
33.84,-0.56%,15854405,1426008836520
33.83,-0.57%,15886343,1426008897067
33.80,-0.68%,15980562,1426008957622
33.81,-0.63%,16004930,1426009018289
33.81,-0.65%,16031155,1426009078959
33.81,-0.65%,16068003,1426009139501
33.80,-0.68%,16082498,1426009200049
33.79,-0.71%,16124073,1426009260593
33.82,-0.63%,16160835,1426009321276
33.81,-0.65%,16197095,1426009381949
33.80,-0.68%,16210560,1426009442494
33.81,-0.63%,16244111,1426009503040
33.83,-0.59%,16296520,1426009563587
33.85,-0.54%,16305245,1426009624261
33.83,-0.59%,16362930,1426009684942
33.84,-0.56%,16385724,1426009745488
33.84,-0.56%,16466208,1426009806031
33.82,-0.62%,16556747,1426009866581
33.85,-0.54%,16589406,1426009927272
33.84,-0.56%,16639448,1426009988031
33.84,-0.56%,16742374,1426010048566
33.83,-0.59%,16764728,1426010109113
33.84,-0.56%,16779266,1426010169648
33.83,-0.57%,16882410,1426010230323
33.83,-0.57%,16890788,1426010291003
33.84,-0.56%,17007688,1426010351551
33.85,-0.53%,17047735,1426010412093
33.83,-0.59%,17080821,1426010472644
33.84,-0.56%,17117748,1426010533321
33.83,-0.57%,17136381,1426010594015
33.83,-0.57%,17185668,1426010654560
33.83,-0.59%,17309481,1426010715103
33.85,-0.54%,17378699,1426010775636
33.84,-0.56%,17514173,1426010836316
33.85,-0.53%,17563262,1426010896997
33.85,-0.53%,17575666,1426010957547
33.85,-0.53%,17665099,1426011018096
33.86,-0.50%,17686621,1426011078643
33.87,-0.47%,17725482,1426011139322
33.83,-0.59%,17768102,1426011199994
33.80,-0.68%,17851463,1426011260542
33.78,-0.73%,17904700,1426011321085
33.82,-0.62%,17967265,1426011381631
33.80,-0.68%,18010159,1426011442295
33.81,-0.66%,18026420,1426011502977
33.78,-0.73%,18110896,1426011563513
33.76,-0.78%,18146849,1426011624056
33.76,-0.79%,18194561,1426011684599
33.76,-0.79%,18251428,1426011745283
33.75,-0.82%,18271715,1426011805952
33.73,-0.88%,18320235,1426011866500
33.74,-0.85%,18346782,1426011927038
33.74,-0.84%,18362508,1426011987586
33.75,-0.82%,18408581,1426012048275
33.74,-0.85%,18427687,1426012108952
33.72,-0.91%,18479926,1426012169495
33.74,-0.85%,18515848,1426012230051
33.75,-0.82%,18573834,1426012290594
33.78,-0.73%,18629873,1426012351291
33.79,-0.71%,18715073,1426012411983
33.80,-0.68%,18745736,1426012472519
33.79,-0.69%,18771766,1426012533066
33.80,-0.68%,18815655,1426012593608
33.78,-0.75%,18859361,1426012654276
33.79,-0.71%,18877998,1426012714953
33.79,-0.69%,18949634,1426012775493
33.78,-0.72%,18976063,1426012836030
33.77,-0.76%,19008412,1426012896571
33.75,-0.82%,19033319,1426012957260
33.75,-0.82%,19059199,1426013017945
33.76,-0.80%,19100096,1426013078486
33.79,-0.71%,19134135,1426013139034
33.82,-0.62%,19192316,1426013199577
33.80,-0.68%,19238634,1426013260251
33.83,-0.59%,19280494,1426013320925
33.80,-0.68%,19507359,1426013381467
33.81,-0.65%,19558891,1426013442006
33.83,-0.60%,19599958,1426013502569
33.82,-0.63%,19652903,1426013563249
33.82,-0.62%,19700096,1426013623930
33.83,-0.59%,19729388,1426013684465
33.81,-0.65%,19898752,1426013745012
33.83,-0.60%,19939130,1426013805558
33.82,-0.61%,19961022,1426013866229
33.85,-0.53%,20073017,1426013928194
33.85,-0.53%,20148778,1426013988737
33.83,-0.59%,20225053,1426014049419
33.85,-0.51%,20286826,1426014109967
33.86,-0.50%,20315495,1426014170647
33.86,-0.50%,20339376,1426014231186
33.85,-0.51%,20402140,1426014291730
33.84,-0.56%,20631736,1426014352421
33.85,-0.53%,20685656,1426014412985
33.87,-0.48%,20915604,1426014473654
33.87,-0.48%,20961429,1426014534200
33.86,-0.50%,21074503,1426014594743
33.87,-0.47%,21163885,1426014655417
33.87,-0.48%,21240773,1426014715958
33.85,-0.51%,21277754,1426014776634
33.85,-0.53%,21353090,1426014837180
33.86,-0.50%,21394550,1426014897742
33.87,-0.47%,21466944,1426014958428
33.88,-0.44%,21528260,1426015018976
33.89,-0.41%,21560609,1426015080658
33.90,-0.38%,21647463,1426015141198
33.89,-0.41%,21667547,1426015201750
33.92,-0.34%,21756535,1426015262427
33.92,-0.32%,21840557,1426015322982
33.94,-0.26%,22097599,1426015383652
33.96,-0.21%,22259387,1426015444194
33.96,-0.22%,22328670,1426015504737
33.97,-0.18%,22466930,1426015565421
33.95,-0.24%,22840964,1426015625961
33.95,-0.24%,22980986,1426015686651
33.97,-0.18%,23056408,1426015747199
33.94,-0.26%,23254691,1426015807742
33.92,-0.32%,23368065,1426015868433
33.90,-0.38%,23510952,1426015928982
33.91,-0.35%,23674423,1426015989654
33.94,-0.26%,23831475,1426016050206
33.93,-0.29%,23894550,1426016110746
33.93,-0.29%,23941691,1426016171442
33.91,-0.35%,24487663,1426016231987
33.94,-0.26%,24550615,1426016292657
33.92,-0.32%,24631058,1426016353207
33.92,-0.32%,24665394,1426016413753
33.92,-0.32%,24737849,1426016474422
33.92,-0.31%,24824754,1426016534972
33.91,-0.35%,24919591,1426016595675
33.93,-0.29%,25127023,1426016656221
33.90,-0.38%,25312388,1426016716768
33.90,-0.37%,25450527,1426016777455
33.90,-0.40%,25561006,1426016838004
33.92,-0.32%,25638078,1426016898697
33.91,-0.35%,25726917,1426016959247
33.89,-0.41%,25844546,1426017019790
33.89,-0.41%,25989522,1426017080467
33.89,-0.41%,26093638,1426017141008
33.88,-0.43%,26155717,1426017201679
33.90,-0.40%,26331068,1426017262218
33.88,-0.46%,26698745,1426017322753
33.81,-0.63%,27261366,1426017383431
33.82,-0.62%,27570013,1426017443975
33.85,-0.53%,27872512,1426017504653
33.86,-0.50%,28204482,1426017565200
Price,Change,Volume,Time
34.8,0.0161,3742539,1427118322169
Price,Change,Volume,Time
34.78,0.015600000000000001,5225705,1427118725668
Price,Change,Volume,Time
35.14,0.026000000000000002,21629301,1427123968828
35.14,0.026099999999999998,21691788,1427124029390
35.16,0.026600000000000002,21833226,1427124089950
35.15,0.0263,21932819,1427124150496
35.15,0.0263,22025593,1427124211051
Price,Change,Volume,Time
35.11,0.025099999999999997,22233946,1427124449010
Price,Change,Volume,Time
35.1,0.0248,22295773,1427124511458
35.13,0.025699999999999997,22371413,1427124572041
35.1,0.024700000000000003,22593160,1427124632593
35.1,0.0248,22731052,1427124693145
35.09,0.0245,22842139,1427124753988
35.08,0.0242,22933326,1427124814541
35.08,0.0241,22998100,1427124875089
35.05,0.023399999999999997,23105253,1427124935631
35.08,0.0242,23247345,1427124996194
35.12,0.0254,23346600,1427125057021
35.15,0.0263,23427014,1427125117576
Price,Change,Volume,Time
35.22,0.028300000000000002,25413009,1427126052996
35.22,0.0285,25417437,1427126068554
35.23,0.0286,25445799,1427126084105
35.22,0.028300000000000002,25445999,1427126099651
35.22,0.028300000000000002,25450968,1427126115210
35.23,0.0286,25455961,1427126130756
35.23,0.0286,25467659,1427126146307
Price,Change,Volume,Time
35.22,0.0285,25475983,1427126164613
