Price,Change,Volume,Time
82.57,-0.63%,14026,1425994231439
82.54,-0.66%,49285,1425994291989
82.53,-0.67%,55473,1425994352536
82.54,-0.66%,66360,1425994413080
82.54,-0.66%,67333,1425994473754
82.55,-0.65%,71893,1425994534452
82.49,-0.72%,77502,1425994595606
82.42,-0.81%,317445,1425994656151
82.40,-0.83%,371559,1425994716688
82.34,-0.90%,394811,1425994777356
82.28,-0.97%,491984,1425994838036
82.26,-1.00%,511336,1425994898580
82.24,-1.03%,537741,1425994959134
82.22,-1.05%,563210,1425995019678
82.18,-1.10%,584314,1425995080382
82.18,-1.10%,613139,1425995141054
82.18,-1.10%,649695,1425995201604
82.17,-1.11%,669838,1425995262151
82.14,-1.14%,691407,1425995322686
82.11,-1.18%,712941,1425995383372
82.09,-1.20%,744556,1425995444050
81.96,-1.36%,923995,1425995504598
81.99,-1.32%,945535,1425995565137
82.00,-1.31%,966592,1425995625718
81.99,-1.32%,1038583,1425995686266
81.97,-1.34%,1055431,1425995746934
81.96,-1.36%,1070652,1425995807480
82.00,-1.31%,1089547,1425995868022
82.04,-1.27%,1181771,1425995928582
81.99,-1.32%,1204348,1425995989127
81.97,-1.35%,1215517,1425996049804
82.01,-1.30%,1264130,1425996110353
82.00,-1.32%,1309385,1425996170893
82.12,-1.17%,1350752,1425996231437
82.13,-1.16%,1376278,1425996291975
82.10,-1.19%,1398718,1425996352665
82.13,-1.16%,1415764,1425996413207
82.09,-1.20%,1428443,1425996473747
82.04,-1.27%,1450723,1425996534287
82.01,-1.30%,1486468,1425996594955
81.96,-1.37%,1516851,1425996655631
81.92,-1.41%,1551101,1425996716178
81.94,-1.38%,1576270,1425996776726
81.93,-1.40%,1608802,1425996837271
81.86,-1.48%,1662816,1425996897957
81.83,-1.52%,1711497,1425996958825
81.81,-1.54%,1746051,1425997019370
81.84,-1.50%,1759354,1425997079917
81.93,-1.40%,1791589,1425997140467
81.94,-1.38%,1806095,1425997201140
81.93,-1.40%,1825500,1425997261824
81.92,-1.41%,1855175,1425997322367
81.89,-1.44%,1904154,1425997382913
81.88,-1.46%,1918026,1425997443459
81.93,-1.40%,1932555,1425997504125
81.99,-1.32%,1962578,1425997564816
82.04,-1.26%,1978895,1425997625359
81.99,-1.32%,2001645,1425997685908
82.01,-1.30%,2034668,1425997746459
82.01,-1.30%,2059658,1425997807126
81.97,-1.34%,2072038,1425997867811
81.98,-1.34%,2088253,1425997928350
82.03,-1.28%,2097053,1425997988895
82.04,-1.26%,2109914,1425998049445
82.02,-1.29%,2120391,1425998110137
82.03,-1.28%,2144570,1425998170818
81.99,-1.32%,2159814,1425998231353
81.99,-1.32%,2172189,1425998291904
81.99,-1.32%,2192560,1425998352443
82.01,-1.30%,2212055,1425998413129
82.03,-1.27%,2232080,1425998473796
82.04,-1.26%,2280615,1425998534351
82.01,-1.30%,2293488,1425998594887
82.01,-1.30%,2307061,1425998655437
82.00,-1.31%,2323909,1425998716105
82.01,-1.29%,2345327,1425998776797
82.00,-1.31%,2361583,1425998837343
81.99,-1.33%,2373900,1425998897892
81.94,-1.38%,2416243,1425998958440
81.99,-1.33%,2433939,1425999019118
82.05,-1.25%,2452769,1425999079794
82.10,-1.19%,2485999,1425999140347
82.06,-1.24%,2516265,1425999200889
82.07,-1.23%,2536451,1425999261442
82.07,-1.23%,2560715,1425999322135
82.11,-1.18%,2581911,1425999382801
82.13,-1.16%,2600615,1425999443353
82.07,-1.23%,2618468,1425999503901
82.12,-1.17%,2626615,1425999564448
82.14,-1.14%,2669011,1425999625134
82.16,-1.11%,2678005,1425999685805
82.19,-1.08%,2689631,1425999746349
82.19,-1.08%,2699783,1425999806900
82.22,-1.05%,2707945,1425999867443
82.19,-1.08%,2717272,1425999928122
82.21,-1.06%,2730152,1425999988799
82.22,-1.05%,2737999,1426000049340
82.21,-1.06%,2744886,1426000109878
82.22,-1.05%,2753325,1426000170425
82.22,-1.05%,2774617,1426000231184
82.23,-1.04%,2785995,1426000291851
82.23,-1.04%,2804361,1426000352402
