Price,Change,Volume,Time
33.23,-0.36%,500417,1425994231440
33.19,-0.49%,659203,1425994291989
33.16,-0.57%,764647,1425994352536
33.21,-0.42%,895930,1425994413080
33.22,-0.39%,998309,1425994473754
33.21,-0.43%,1107333,1425994534453
33.19,-0.48%,1188039,1425994595606
33.16,-0.57%,1245867,1425994656151
33.17,-0.55%,1300374,1425994716688
33.17,-0.55%,1371402,1425994777356
33.14,-0.63%,1464441,1425994838036
33.09,-0.78%,1584402,1425994898580
33.11,-0.73%,1649701,1425994959134
33.10,-0.73%,1704459,1425995019678
33.11,-0.72%,1752060,1425995080382
33.10,-0.75%,1845341,1425995141054
33.06,-0.88%,2002242,1425995201604
33.04,-0.93%,2128461,1425995262151
33.01,-1.00%,2216551,1425995322686
33.02,-0.99%,2289639,1425995383372
33.01,-1.02%,2342174,1425995444050
32.92,-1.29%,3321227,1425995504599
32.92,-1.29%,3471028,1425995565138
32.92,-1.29%,3603889,1425995625718
32.90,-1.33%,3687280,1425995686267
32.92,-1.29%,3841814,1425995746934
32.92,-1.29%,3929540,1425995807480
32.91,-1.32%,3997129,1425995868022
32.92,-1.29%,4177337,1425995928582
32.93,-1.27%,4266936,1425995989127
32.94,-1.21%,4418182,1425996049804
32.94,-1.24%,4549969,1425996110353
32.94,-1.23%,4602172,1425996170893
32.94,-1.23%,4652637,1425996231437
32.96,-1.17%,4742132,1425996291975
32.97,-1.14%,4889938,1425996352665
32.97,-1.12%,4996180,1425996413207
32.97,-1.12%,5100052,1425996473747
32.98,-1.11%,5222706,1425996534287
33.00,-1.05%,5288806,1425996594955
32.99,-1.08%,5294513,1425996655631
32.96,-1.17%,5409516,1425996716178
32.97,-1.14%,5501425,1425996776727
32.94,-1.24%,5591253,1425996837271
32.93,-1.26%,5648988,1425996897957
32.92,-1.30%,5747923,1425996958825
32.92,-1.30%,5850961,1425997019370
32.89,-1.38%,6059789,1425997079917
32.90,-1.35%,6277286,1425997140468
32.89,-1.38%,6387984,1425997201140
32.90,-1.33%,6627291,1425997261824
32.93,-1.26%,6717719,1425997322367
32.92,-1.29%,6777744,1425997382913
32.92,-1.30%,6839667,1425997443459
32.90,-1.36%,6970292,1425997504125
32.90,-1.36%,7061913,1425997564817
32.89,-1.38%,7101589,1425997625359
32.86,-1.47%,7265210,1425997685908
32.88,-1.42%,7319325,1425997746459
32.88,-1.41%,7452054,1425997807126
32.88,-1.42%,7589379,1425997867811
32.88,-1.42%,7600956,1425997928350
32.88,-1.42%,7630420,1425997988895
32.85,-1.50%,7745860,1425998049445
32.88,-1.41%,7846462,1425998110137
32.88,-1.42%,7941681,1425998170818
32.87,-1.45%,7970905,1425998231353
32.85,-1.48%,8026539,1425998291904
32.87,-1.45%,8082008,1425998352443
32.87,-1.44%,8162733,1425998413129
