Price,Change,Volume,Time
105.80,-0.86%,215,1425994231440
105.80,-0.86%,215,1425994291990
105.61,-1.04%,34411,1425994352536
105.50,-1.14%,43347,1425994413081
105.62,-1.03%,49201,1425994473755
105.54,-1.11%,56899,1425994534453
105.52,-1.12%,66902,1425994595606
105.48,-1.16%,70220,1425994656151
105.50,-1.14%,73158,1425994716688
105.50,-1.14%,84177,1425994777356
105.45,-1.19%,88656,1425994838036
105.42,-1.22%,93689,1425994898580
105.47,-1.17%,95575,1425994959134
105.41,-1.23%,97436,1425995019678
105.49,-1.15%,100324,1425995080382
105.35,-1.28%,102504,1425995141054
105.34,-1.29%,110039,1425995201605
105.41,-1.23%,111008,1425995262152
105.40,-1.24%,112849,1425995322686
105.38,-1.25%,114951,1425995383372
105.32,-1.31%,118212,1425995444051
105.20,-1.42%,130351,1425995504599
105.23,-1.40%,134227,1425995565138
105.20,-1.42%,139521,1425995625719
105.19,-1.43%,141655,1425995686267
105.24,-1.39%,145631,1425995746934
105.25,-1.38%,148538,1425995807480
105.21,-1.41%,149976,1425995868022
105.18,-1.44%,151632,1425995928582
105.20,-1.42%,153503,1425995989127
105.14,-1.48%,155508,1425996049805
105.22,-1.41%,161878,1425996110354
105.15,-1.47%,168622,1425996170893
105.20,-1.42%,170055,1425996231437
105.20,-1.42%,172903,1425996291975
105.23,-1.40%,179332,1425996352665
105.21,-1.41%,181988,1425996413208
105.16,-1.46%,184921,1425996473747
105.19,-1.43%,187998,1425996534287
105.21,-1.41%,192941,1425996594955
105.23,-1.40%,193453,1425996655631
105.16,-1.46%,196937,1425996716178
105.19,-1.43%,199874,1425996776727
105.15,-1.47%,202508,1425996837271
105.09,-1.53%,206562,1425996897957
105.07,-1.55%,209316,1425996958825
105.09,-1.53%,212842,1425997019370
105.14,-1.48%,213740,1425997079918
105.14,-1.48%,218673,1425997140468
105.16,-1.46%,219692,1425997201140
105.11,-1.51%,222097,1425997261824
105.15,-1.47%,225479,1425997322367
105.12,-1.50%,228801,1425997382914
105.06,-1.56%,230989,1425997443459
105.05,-1.56%,235467,1425997504125
105.06,-1.56%,237923,1425997564817
105.03,-1.58%,239900,1425997625359
104.91,-1.70%,248196,1425997685908
105.00,-1.61%,255151,1425997746459
105.03,-1.58%,257806,1425997807126
104.97,-1.64%,262499,1425997867811
104.97,-1.64%,262893,1425997928351
105.01,-1.60%,266546,1425997988895
104.97,-1.64%,268907,1425998049445
104.92,-1.69%,273890,1425998110137
104.98,-1.63%,275418,1425998170818
104.88,-1.72%,288987,1425998231353
104.90,-1.71%,296933,1425998291904
104.89,-1.71%,299835,1425998352443
104.95,-1.66%,304736,1425998413129
105.02,-1.59%,307454,1425998473796
105.10,-1.52%,311538,1425998534351
105.02,-1.59%,314069,1425998594887
105.03,-1.58%,315306,1425998655437
105.10,-1.52%,316189,1425998716105
105.14,-1.48%,320087,1425998776797
105.08,-1.54%,320928,1425998837343
105.15,-1.47%,324084,1425998897892
105.15,-1.47%,325902,1425998958440
105.19,-1.43%,330669,1425999019119
105.21,-1.41%,340400,1425999079794
105.23,-1.40%,342139,1425999140347
105.28,-1.35%,346240,1425999200890
105.32,-1.31%,348861,1425999261442
105.31,-1.32%,350770,1425999322136
105.35,-1.28%,354042,1425999382801
105.37,-1.26%,355177,1425999443353
105.33,-1.30%,357312,1425999503901
105.33,-1.30%,357712,1425999564448
105.29,-1.34%,374679,1425999625134
105.26,-1.37%,376842,1425999685805
105.37,-1.26%,380591,1425999746349
105.39,-1.24%,384916,1425999806900
105.37,-1.26%,386982,1425999867443
105.34,-1.29%,390398,1425999928122
105.32,-1.31%,392312,1425999988799
105.36,-1.27%,396477,1426000049340
105.35,-1.28%,400963,1426000109879
105.36,-1.27%,405704,1426000170426
105.38,-1.26%,411221,1426000231185
105.37,-1.26%,411544,1426000291851
105.33,-1.30%,414226,1426000352402
105.36,-1.28%,417423,1426000412947
105.37,-1.26%,420971,1426000473495
105.40,-1.24%,422858,1426000534169
105.41,-1.23%,425497,1426000594847
105.41,-1.23%,430076,1426000655396
105.42,-1.22%,431837,1426000715950
105.43,-1.21%,436313,1426000776489
105.45,-1.19%,442939,1426000837165
105.49,-1.15%,446741,1426000897853
105.47,-1.17%,448104,1426000958405
105.44,-1.20%,449914,1426001018946
105.40,-1.24%,452047,1426001079490
105.40,-1.24%,454711,1426001140171
105.41,-1.23%,455274,1426001200865
105.43,-1.21%,459224,1426001261451
105.36,-1.27%,461399,1426001321999
105.33,-1.30%,462915,1426001382551
105.34,-1.29%,465110,1426001443221
105.31,-1.32%,466561,1426001503911
105.29,-1.34%,467504,1426001564456
105.34,-1.29%,470210,1426001624992
105.29,-1.34%,471258,1426001685534
105.31,-1.32%,473143,1426001746201
105.32,-1.31%,475289,1426001806880
105.30,-1.33%,477355,1426001867419
105.22,-1.41%,480433,1426001927953
105.24,-1.39%,485131,1426001988508
105.25,-1.38%,486931,1426002049185
105.24,-1.39%,489512,1426002109854
105.22,-1.40%,493945,1426002170396
105.14,-1.48%,498718,1426002230951
105.18,-1.44%,503038,1426002291492
105.15,-1.47%,506326,1426002352174
105.08,-1.54%,512219,1426002412853
105.13,-1.49%,514304,1426002473396
105.12,-1.50%,516388,1426002533936
105.09,-1.53%,517564,1426002594479
105.08,-1.54%,523547,1426002655151
105.09,-1.53%,525357,1426002715831
105.08,-1.54%,528540,1426002776368
105.09,-1.53%,530206,1426002836913
105.06,-1.56%,532877,1426002897459
105.09,-1.53%,537015,1426002958156
105.11,-1.51%,538661,1426003018850
105.08,-1.54%,546574,1426003079395
105.09,-1.53%,547315,1426003139941
105.00,-1.61%,553388,1426003200481
104.97,-1.64%,556510,1426003261062
104.98,-1.63%,556949,1426003321751
104.93,-1.68%,562267,1426003382290
104.93,-1.68%,563920,1426003442831
104.99,-1.62%,566920,1426003503387
105.01,-1.60%,571403,1426003564058
105.01,-1.60%,574981,1426003624762
105.03,-1.58%,576332,1426003685305
105.06,-1.56%,578699,1426003745853
