Price,Change,Volume,Time
120.93,-0.67%,65025,1425994231442
120.05,-1.40%,98706,1425994291990
120.00,-1.44%,120217,1425994352536
119.80,-1.60%,139906,1425994413081
119.68,-1.70%,157197,1425994473755
119.89,-1.53%,174992,1425994534453
119.99,-1.45%,185389,1425994595607
119.90,-1.52%,226736,1425994656151
119.95,-1.48%,257565,1425994716689
119.96,-1.47%,264639,1425994777356
119.79,-1.61%,295021,1425994838036
119.98,-1.45%,320783,1425994898580
119.94,-1.49%,335193,1425994959134
119.88,-1.54%,341711,1425995019678
119.96,-1.47%,349482,1425995080383
119.78,-1.62%,358683,1425995141054
119.71,-1.68%,370720,1425995201605
119.69,-1.69%,374816,1425995262152
119.68,-1.70%,379955,1425995322687
119.65,-1.72%,394107,1425995383372
119.58,-1.78%,404978,1425995444051
119.57,-1.79%,455809,1425995504599
119.65,-1.72%,466053,1425995565138
119.70,-1.68%,471813,1425995625719
119.76,-1.63%,483867,1425995686267
119.88,-1.54%,507644,1425995746935
119.90,-1.52%,513904,1425995807481
119.85,-1.56%,517793,1425995868023
119.69,-1.69%,527448,1425995928582
119.61,-1.76%,537965,1425995989127
119.54,-1.81%,541926,1425996049805
119.61,-1.76%,559549,1425996110354
119.59,-1.77%,576495,1425996170893
119.62,-1.75%,586148,1425996231437
119.58,-1.78%,592235,1425996291975
119.54,-1.82%,597953,1425996352665
119.53,-1.82%,636645,1425996413208
119.49,-1.86%,666248,1425996473748
119.53,-1.82%,674384,1425996534287
119.50,-1.85%,683243,1425996594955
119.49,-1.86%,720013,1425996655631
119.44,-1.90%,743783,1425996716179
119.41,-1.92%,751101,1425996776727
119.36,-1.96%,758729,1425996837271
119.31,-2.00%,768295,1425996897957
119.15,-2.14%,788126,1425996958825
119.10,-2.18%,809803,1425997019371
119.24,-2.06%,814471,1425997079918
119.28,-2.03%,822115,1425997140468
119.30,-2.01%,825251,1425997201140
119.29,-2.02%,830450,1425997261824
119.29,-2.02%,835278,1425997322368
119.25,-2.05%,844643,1425997382914
119.25,-2.05%,848752,1425997443459
119.22,-2.08%,854749,1425997504130
119.29,-2.02%,862619,1425997564817
119.31,-2.00%,870207,1425997625360
119.11,-2.17%,874970,1425997685909
119.20,-2.09%,879477,1425997746459
119.22,-2.08%,891258,1425997807127
119.14,-2.14%,903162,1425997867811
119.14,-2.14%,907706,1425997928351
119.11,-2.17%,918509,1425997988895
118.99,-2.27%,956244,1425998049446
118.99,-2.27%,964220,1425998110138
118.96,-2.29%,977750,1425998170818
118.92,-2.32%,993052,1425998231353
118.92,-2.32%,997119,1425998291904
118.96,-2.30%,1006387,1425998352444
118.91,-2.33%,1016321,1425998413129
118.90,-2.34%,1032980,1425998473796
119.04,-2.23%,1052920,1425998534351
118.97,-2.28%,1057799,1425998594887
118.97,-2.28%,1064647,1425998655437
119.03,-2.23%,1069462,1425998716106
119.15,-2.14%,1081962,1425998776797
119.01,-2.25%,1089487,1425998837344
118.98,-2.28%,1097726,1425998897892
119.00,-2.26%,1106092,1425998958440
119.00,-2.26%,1115497,1425999019119
118.99,-2.27%,1128367,1425999079794
119.01,-2.25%,1135091,1425999140348
119.06,-2.21%,1144963,1425999200890
119.10,-2.18%,1150954,1425999261442
119.11,-2.17%,1156099,1425999322136
119.20,-2.09%,1162052,1425999382802
119.20,-2.09%,1164519,1425999443353
119.16,-2.13%,1169372,1425999503901
119.11,-2.17%,1177139,1425999564448
119.11,-2.17%,1196891,1425999625135
119.12,-2.16%,1204325,1425999685805
119.18,-2.11%,1209795,1425999746349
119.15,-2.14%,1217723,1425999806901
119.17,-2.12%,1222177,1425999867443
119.11,-2.17%,1226133,1425999928122
119.20,-2.09%,1235609,1425999988799
119.19,-2.10%,1237509,1426000049341
119.23,-2.07%,1242643,1426000109879
119.23,-2.07%,1246444,1426000170426
119.14,-2.14%,1253793,1426000231185
119.17,-2.12%,1259293,1426000291852
119.15,-2.14%,1263493,1426000352402
119.17,-2.12%,1266687,1426000412948
119.26,-2.05%,1271342,1426000473495
119.26,-2.04%,1276331,1426000534169
119.27,-2.04%,1281466,1426000594848
119.28,-2.03%,1284057,1426000655397
119.25,-2.05%,1287302,1426000715950
119.28,-2.03%,1294031,1426000776489
119.31,-2.00%,1307691,1426000837166
119.34,-1.98%,1313790,1426000897853
119.36,-1.97%,1317190,1426000958406
119.33,-1.99%,1323428,1426001018946
119.32,-2.00%,1326150,1426001079491
119.29,-2.02%,1335167,1426001140171
119.35,-1.97%,1339572,1426001200865
119.38,-1.95%,1343229,1426001261452
119.29,-2.02%,1348223,1426001321999
119.29,-2.02%,1351522,1426001382551
119.26,-2.05%,1365581,1426001443222
119.25,-2.05%,1369184,1426001503911
119.22,-2.08%,1374342,1426001564457
119.24,-2.06%,1377951,1426001624992
119.17,-2.12%,1382549,1426001685534
119.18,-2.11%,1386286,1426001746201
119.21,-2.09%,1391721,1426001806880
119.17,-2.12%,1395749,1426001867420
119.17,-2.12%,1400885,1426001927953
119.17,-2.12%,1408680,1426001988508
119.19,-2.10%,1413933,1426002049185
119.16,-2.13%,1418815,1426002109854
119.09,-2.18%,1429037,1426002170396
119.00,-2.26%,1434227,1426002230952
119.05,-2.22%,1438475,1426002291492
118.99,-2.27%,1441956,1426002352174
118.93,-2.32%,1457444,1426002412853
118.92,-2.32%,1468074,1426002473396
118.92,-2.32%,1469818,1426002533936
118.91,-2.33%,1512312,1426002594479
118.86,-2.37%,1521589,1426002655151
118.91,-2.33%,1526616,1426002715831
118.88,-2.36%,1531280,1426002776368
118.92,-2.32%,1539174,1426002836913
118.81,-2.41%,1545533,1426002897459
118.88,-2.36%,1552626,1426002958156
118.89,-2.35%,1556740,1426003018850
118.82,-2.41%,1562231,1426003079395
118.83,-2.40%,1564310,1426003139941
118.62,-2.57%,1575187,1426003200481
118.63,-2.56%,1591263,1426003261062
118.63,-2.56%,1594919,1426003321751
118.60,-2.59%,1601352,1426003382290
118.62,-2.57%,1608407,1426003442831
118.64,-2.55%,1609548,1426003503387
118.63,-2.56%,1613600,1426003564058
118.67,-2.53%,1625866,1426003624762
118.68,-2.52%,1628200,1426003685305
118.69,-2.51%,1632818,1426003745854
118.69,-2.51%,1637094,1426003806396
118.71,-2.50%,1641899,1426003867078
118.79,-2.43%,1646707,1426003927751
118.83,-2.40%,1658274,1426003988305
118.81,-2.41%,1661469,1426004048848
118.81,-2.41%,1667777,1426004109397
118.87,-2.37%,1677463,1426004170077
118.87,-2.37%,1688459,1426004230749
