Price,Change,Volume,Time
269.69,-0.64%,6027,1425994231442
268.92,-0.92%,66923,1425994291990
268.83,-0.95%,67954,1425994352536
269.28,-0.79%,73416,1425994413081
269.48,-0.72%,75396,1425994473755
269.67,-0.65%,80270,1425994534453
269.53,-0.70%,97487,1425994595607
269.44,-0.73%,98883,1425994656151
269.24,-0.80%,105304,1425994716689
268.96,-0.91%,114803,1425994777356
268.78,-0.97%,125798,1425994838037
268.86,-0.94%,133976,1425994898580
268.80,-0.97%,140153,1425994959134
268.64,-1.02%,151368,1425995019679
268.77,-0.98%,155173,1425995080383
268.36,-1.13%,161811,1425995141054
268.23,-1.18%,176145,1425995201605
268.21,-1.18%,179489,1425995262152
268.26,-1.17%,185261,1425995322687
268.25,-1.17%,188138,1425995383372
267.67,-1.38%,211905,1425995444051
267.59,-1.41%,232278,1425995504599
267.99,-1.26%,243437,1425995565138
267.76,-1.35%,255903,1425995625719
267.77,-1.34%,263852,1425995686267
267.67,-1.38%,276065,1425995746935
268.00,-1.26%,285122,1425995807481
267.96,-1.27%,293483,1425995868023
268.04,-1.25%,300803,1425995928582
268.11,-1.22%,305198,1425995989128
268.02,-1.25%,310004,1425996049805
268.30,-1.15%,316141,1425996110354
268.33,-1.14%,322711,1425996170893
268.34,-1.13%,327959,1425996231438
268.08,-1.23%,330119,1425996291975
267.98,-1.27%,336669,1425996352665
268.16,-1.20%,340466,1425996413208
267.90,-1.30%,342733,1425996473748
267.74,-1.36%,351595,1425996534287
267.71,-1.37%,355605,1425996594956
267.68,-1.38%,359162,1425996655631
267.62,-1.40%,372596,1425996716179
267.74,-1.36%,375928,1425996776727
267.62,-1.40%,379939,1425996837271
267.50,-1.44%,386910,1425996897958
267.44,-1.47%,392696,1425996958825
267.63,-1.40%,398631,1425997019371
267.73,-1.36%,403123,1425997079919
267.61,-1.40%,409608,1425997140468
267.98,-1.27%,440143,1425997201140
267.98,-1.27%,446308,1425997261825
267.87,-1.31%,446940,1425997322368
267.83,-1.32%,451313,1425997382914
267.75,-1.35%,453051,1425997443459
267.84,-1.32%,457460,1425997504130
267.96,-1.27%,463109,1425997564817
267.81,-1.33%,467142,1425997625360
267.35,-1.50%,471718,1425997685909
267.57,-1.42%,477194,1425997746459
267.60,-1.41%,491375,1425997807127
267.51,-1.44%,496428,1425997867811
267.50,-1.44%,497220,1425997928351
267.45,-1.46%,502042,1425997988896
267.42,-1.47%,503432,1425998049446
267.12,-1.58%,511855,1425998110138
267.14,-1.58%,521136,1425998170818
267.14,-1.58%,538174,1425998231353
267.12,-1.58%,540757,1425998291905
266.84,-1.69%,550322,1425998352444
266.50,-1.81%,570657,1425998413129
266.67,-1.75%,581364,1425998473797
266.82,-1.69%,587929,1425998534352
266.83,-1.69%,592066,1425998594887
266.64,-1.76%,597595,1425998655437
266.72,-1.73%,607901,1425998716106
266.63,-1.76%,613810,1425998776797
266.74,-1.72%,622736,1425998837344
266.73,-1.73%,625411,1425998897892
266.57,-1.79%,632186,1425998958441
266.48,-1.82%,639737,1425999019119
266.62,-1.77%,650372,1425999079794
266.62,-1.77%,655058,1425999140348
266.80,-1.70%,662502,1425999200890
266.79,-1.71%,667825,1425999261442
266.71,-1.74%,674740,1425999322136
266.90,-1.67%,679696,1425999382802
266.86,-1.68%,682527,1425999443353
266.71,-1.73%,689059,1425999503901
266.61,-1.77%,694590,1425999564448
266.28,-1.90%,722866,1425999625135
266.53,-1.80%,734023,1425999685805
266.72,-1.73%,738992,1425999746349
266.88,-1.67%,743590,1425999806901
266.86,-1.68%,749050,1425999867443
266.80,-1.70%,754477,1425999928123
267.01,-1.62%,756152,1425999988799
267.08,-1.60%,761027,1426000049341
267.28,-1.53%,768785,1426000109879
267.19,-1.56%,773348,1426000170426
267.38,-1.49%,778897,1426000231185
267.27,-1.53%,779613,1426000291852
267.17,-1.57%,783006,1426000352402
267.26,-1.53%,786027,1426000412948
267.21,-1.55%,788814,1426000473495
267.24,-1.54%,792684,1426000534169
267.21,-1.55%,794978,1426000594848
267.19,-1.56%,799554,1426000655397
267.22,-1.55%,802655,1426000715950
267.18,-1.56%,811711,1426000776489
267.33,-1.51%,815233,1426000837166
267.48,-1.45%,820790,1426000897853
267.51,-1.44%,821848,1426000958406
267.51,-1.44%,825887,1426001018946
267.53,-1.43%,831041,1426001079491
267.32,-1.51%,834735,1426001140171
267.51,-1.44%,842041,1426001200865
267.54,-1.43%,852991,1426001261452
267.55,-1.43%,855852,1426001321999
267.49,-1.45%,857774,1426001382551
267.52,-1.44%,859145,1426001443222
267.39,-1.48%,860459,1426001503911
267.44,-1.47%,866338,1426001564457
267.45,-1.46%,870184,1426001624992
267.24,-1.54%,875638,1426001685534
267.34,-1.50%,880807,1426001746201
267.38,-1.49%,881558,1426001806880
267.26,-1.53%,886294,1426001867420
267.18,-1.56%,888516,1426001927953
267.17,-1.57%,890541,1426001988508
267.42,-1.47%,893945,1426002049186
267.52,-1.44%,895564,1426002109854
267.31,-1.51%,899501,1426002170397
267.28,-1.53%,903798,1426002230952
267.26,-1.53%,906236,1426002291492
267.10,-1.59%,909061,1426002352174
266.78,-1.71%,920589,1426002412853
266.88,-1.67%,925133,1426002473396
267.02,-1.62%,926665,1426002533936
267.02,-1.62%,931348,1426002594479
266.96,-1.64%,935456,1426002655151
266.93,-1.66%,937460,1426002715831
266.85,-1.68%,940473,1426002776368
266.72,-1.73%,945210,1426002836914
266.58,-1.78%,954756,1426002897459
266.72,-1.73%,960426,1426002958156
266.85,-1.68%,961848,1426003018850
266.70,-1.74%,965538,1426003079395
266.72,-1.73%,966581,1426003139941
266.49,-1.82%,972500,1426003200481
266.44,-1.83%,973611,1426003261062
266.44,-1.83%,975519,1426003321752
266.36,-1.86%,980259,1426003382290
266.45,-1.83%,983050,1426003442831
266.46,-1.83%,988576,1426003503387
266.52,-1.81%,995007,1426003564058
266.57,-1.79%,999676,1426003624762
266.58,-1.78%,1000369,1426003685305
266.60,-1.78%,1003344,1426003745854
266.71,-1.74%,1006810,1426003806396
266.80,-1.70%,1008630,1426003867078
266.96,-1.64%,1011894,1426003927751
267.05,-1.61%,1016220,1426003988305
266.96,-1.64%,1019564,1426004048848
267.02,-1.62%,1023080,1426004109397
266.98,-1.64%,1024491,1426004170077
266.85,-1.68%,1029413,1426004230749
266.87,-1.68%,1031100,1426004291372
266.94,-1.65%,1039298,1426004351931
266.92,-1.66%,1041975,1426004412467
266.82,-1.69%,1044319,1426004473148
