Price,Change,Volume,Time
48.02,-0.43%,348963,1425994231443
48.01,-0.47%,480707,1425994291990
48.07,-0.34%,536107,1425994352537
48.18,-0.11%,616764,1425994413081
48.26,0.06%,691221,1425994473755
48.27,0.08%,776721,1425994534454
48.22,-0.02%,845408,1425994595607
48.21,-0.05%,878334,1425994656151
48.15,-0.17%,970022,1425994716689
48.05,-0.37%,1034197,1425994777357
48.03,-0.41%,1102394,1425994838037
47.98,-0.52%,1171196,1425994898581
48.01,-0.46%,1301580,1425994959134
48.00,-0.48%,1431807,1425995019679
47.98,-0.52%,1480499,1425995080383
47.96,-0.56%,1516953,1425995141054
47.92,-0.65%,1568528,1425995201605
47.88,-0.73%,1620079,1425995262152
47.92,-0.64%,1643214,1425995322687
47.94,-0.59%,1659556,1425995383373
47.93,-0.62%,1705433,1425995444051
47.78,-0.93%,1885104,1425995504599
47.79,-0.91%,1967701,1425995565138
47.80,-0.89%,2005057,1425995625719
47.83,-0.84%,2053150,1425995686267
47.84,-0.81%,2084725,1425995746935
47.82,-0.85%,2122726,1425995807481
47.83,-0.84%,2145572,1425995868023
47.77,-0.95%,2214123,1425995928583
47.81,-0.88%,2251960,1425995989128
47.80,-0.89%,2301937,1425996049805
47.86,-0.77%,2340974,1425996110354
47.86,-0.76%,2375467,1425996170893
47.85,-0.79%,2411432,1425996231438
47.88,-0.72%,2427786,1425996291975
47.86,-0.77%,2458851,1425996352665
47.88,-0.73%,2478516,1425996413208
47.89,-0.70%,2508128,1425996473748
47.91,-0.66%,2558502,1425996534288
47.94,-0.60%,2593580,1425996594956
47.94,-0.60%,2609408,1425996655631
47.91,-0.66%,2642940,1425996716179
47.90,-0.67%,2665793,1425996776727
47.88,-0.73%,2687977,1425996837271
47.86,-0.77%,2713440,1425996897958
47.85,-0.79%,2738460,1425996958826
47.82,-0.86%,2777477,1425997019371
47.81,-0.87%,2803636,1425997079919
47.80,-0.89%,2851044,1425997140468
47.80,-0.89%,2885487,1425997201141
47.82,-0.85%,2917370,1425997261825
47.85,-0.79%,2932685,1425997322368
47.86,-0.77%,2951921,1425997382914
47.86,-0.77%,2973071,1425997443459
47.86,-0.77%,2991247,1425997504130
47.86,-0.77%,3008493,1425997564817
47.88,-0.72%,3047527,1425997625360
47.84,-0.81%,3072325,1425997685909
47.88,-0.74%,3093345,1425997746459
47.87,-0.75%,3111748,1425997807127
47.87,-0.75%,3132910,1425997867811
47.88,-0.74%,3152378,1425997928351
47.88,-0.74%,3169171,1425997988896
47.85,-0.79%,3197807,1425998049446
47.86,-0.78%,3212296,1425998110138
47.86,-0.77%,3224066,1425998170819
47.85,-0.80%,3269821,1425998231353
47.85,-0.79%,3275278,1425998291905
47.86,-0.77%,3324834,1425998352444
47.87,-0.75%,3340071,1425998413129
47.87,-0.75%,3390349,1425998473797
47.90,-0.68%,3437018,1425998534352
