Price,Change,Volume,Time
82.22,-0.80%,11801,1425994231443
82.30,-0.70%,132146,1425994291990
82.21,-0.81%,137718,1425994352537
82.43,-0.54%,149985,1425994413082
82.37,-0.62%,153895,1425994473755
82.41,-0.57%,162602,1425994534454
82.36,-0.63%,169049,1425994595607
82.28,-0.72%,184306,1425994656151
82.24,-0.77%,197329,1425994716689
82.26,-0.75%,204243,1425994777357
82.27,-0.74%,211510,1425994838037
82.35,-0.64%,244860,1425994898581
82.31,-0.69%,273185,1425994959135
82.28,-0.72%,283413,1425995019679
82.30,-0.70%,294096,1425995080383
82.23,-0.78%,299026,1425995141055
82.23,-0.78%,374291,1425995201605
82.21,-0.81%,384012,1425995262152
82.22,-0.79%,390863,1425995322687
82.24,-0.77%,396418,1425995383373
82.21,-0.81%,409144,1425995444051
82.16,-0.87%,431784,1425995504600
82.17,-0.86%,446708,1425995565138
82.18,-0.84%,452698,1425995625719
82.18,-0.84%,458567,1425995686267
82.19,-0.83%,463965,1425995746935
82.25,-0.76%,483408,1425995807481
82.30,-0.70%,495258,1425995868023
82.34,-0.65%,537168,1425995928583
82.36,-0.63%,545734,1425995989128
82.32,-0.68%,581688,1425996049805
82.31,-0.69%,609406,1425996110354
82.37,-0.62%,623045,1425996170893
82.44,-0.54%,639282,1425996231438
82.42,-0.56%,654000,1425996291976
82.35,-0.64%,663045,1425996352665
82.30,-0.70%,671719,1425996413208
82.31,-0.69%,699092,1425996473748
82.26,-0.75%,712865,1425996534288
82.29,-0.71%,722861,1425996594956
82.28,-0.72%,730347,1425996655632
82.19,-0.83%,768028,1425996716179
82.21,-0.81%,788636,1425996776727
82.16,-0.87%,818500,1425996837271
82.18,-0.84%,826734,1425996897958
82.17,-0.86%,831226,1425996958826
82.11,-0.92%,850338,1425997019371
82.10,-0.94%,856413,1425997079919
82.17,-0.86%,867677,1425997140468
82.21,-0.81%,874547,1425997201141
82.16,-0.87%,881952,1425997261825
82.18,-0.84%,889013,1425997322368
82.17,-0.86%,896422,1425997382914
82.18,-0.84%,905914,1425997443459
82.24,-0.77%,912735,1425997504130
82.23,-0.78%,926526,1425997564817
82.21,-0.81%,938211,1425997625360
82.14,-0.89%,958752,1425997685909
82.17,-0.86%,968197,1425997746459
82.15,-0.88%,974618,1425997807127
82.16,-0.87%,984385,1425997867811
82.16,-0.87%,988154,1425997928351
82.12,-0.92%,1007730,1425997988896
82.15,-0.88%,1020800,1425998049446
82.15,-0.88%,1024790,1425998110138
82.14,-0.89%,1028060,1425998170819
82.14,-0.89%,1053916,1425998231353
82.12,-0.92%,1070167,1425998291905
82.13,-0.90%,1076495,1425998352444
