Price,Change,Volume,Time
84.68,-0.56%,205350,1425994231444
84.91,-0.29%,1053131,1425994291991
84.96,-0.23%,1128160,1425994352537
85.16,0.00%,1321275,1425994413082
85.07,-0.11%,1372978,1425994473755
85.26,0.12%,1422734,1425994534454
85.32,0.19%,1475519,1425994595607
85.31,0.18%,1529477,1425994656152
85.35,0.22%,1570876,1425994716689
85.25,0.11%,1669415,1425994777357
85.34,0.21%,1716162,1425994838037
85.29,0.15%,1804549,1425994898581
85.35,0.22%,1851440,1425994959135
85.33,0.20%,1902967,1425995019679
85.27,0.13%,1960418,1425995080383
85.17,0.01%,2018878,1425995141055
85.22,0.07%,2052340,1425995201605
85.26,0.12%,2076577,1425995262153
85.31,0.18%,2105017,1425995322687
85.40,0.28%,2138401,1425995383373
85.25,0.11%,2210587,1425995444051
85.21,0.06%,2257640,1425995504600
85.27,0.13%,2295912,1425995565138
85.25,0.11%,2343673,1425995625719
85.30,0.16%,2386725,1425995686267
85.31,0.18%,2454103,1425995746935
85.43,0.32%,2501951,1425995807481
85.30,0.16%,2541417,1425995868023
85.27,0.13%,2607219,1425995928583
85.30,0.16%,2641872,1425995989128
85.37,0.25%,2668253,1425996049805
85.43,0.32%,2715950,1425996110354
85.40,0.28%,2802238,1425996170894
85.29,0.15%,2866479,1425996231438
85.30,0.16%,2892122,1425996291976
85.27,0.13%,2925294,1425996352665
85.19,0.04%,2958837,1425996413208
85.13,-0.04%,3014707,1425996473748
85.09,-0.08%,3058803,1425996534288
85.07,-0.11%,3087359,1425996594956
85.01,-0.18%,3103859,1425996655632
84.97,-0.22%,3202650,1425996716179
85.03,-0.15%,3233342,1425996776727
84.99,-0.21%,3272002,1425996837271
84.88,-0.33%,3320778,1425996897958
84.82,-0.40%,3353653,1425996958826
84.86,-0.36%,3421113,1425997019371
84.88,-0.33%,3441280,1425997079920
84.91,-0.29%,3485967,1425997140468
84.88,-0.33%,3511495,1425997201141
84.90,-0.30%,3533496,1425997261825
85.01,-0.18%,3568984,1425997322368
84.97,-0.22%,3598585,1425997382914
84.82,-0.40%,3640548,1425997443459
84.82,-0.40%,3661885,1425997504130
84.78,-0.45%,3701263,1425997564817
84.71,-0.53%,3743511,1425997625360
84.66,-0.59%,3788646,1425997685909
84.75,-0.48%,3804705,1425997746459
84.74,-0.49%,3837079,1425997807127
84.71,-0.53%,3854352,1425997867812
84.70,-0.54%,3885121,1425997928351
84.70,-0.54%,3914262,1425997988896
84.69,-0.55%,3942092,1425998049446
84.78,-0.45%,3977860,1425998110138
84.80,-0.42%,4017139,1425998170819
84.73,-0.50%,4049415,1425998231353
84.77,-0.46%,4078451,1425998291905
84.75,-0.48%,4091518,1425998352444
84.78,-0.45%,4113207,1425998413130
84.85,-0.36%,4152017,1425998473797
84.80,-0.42%,4207079,1425998534352
84.71,-0.53%,4231070,1425998594887
84.78,-0.45%,4249555,1425998655438
84.84,-0.38%,4270876,1425998716106
84.89,-0.32%,4287262,1425998776798
84.82,-0.40%,4307694,1425998837344
84.87,-0.34%,4325711,1425998897893
84.95,-0.25%,4351067,1425998958441
85.00,-0.19%,4375422,1425999019119
85.03,-0.15%,4407764,1425999079794
85.06,-0.12%,4458253,1425999140348
85.05,-0.13%,4484603,1425999200890
85.06,-0.12%,4499303,1425999261443
85.04,-0.14%,4514104,1425999322136
85.10,-0.07%,4549088,1425999382802
85.12,-0.05%,4577143,1425999443353
85.07,-0.11%,4604617,1425999503902
85.10,-0.07%,4618502,1425999564448
85.07,-0.11%,4707132,1425999625135
85.03,-0.15%,4717552,1425999685806
85.06,-0.12%,4753249,1425999746349
85.08,-0.09%,4768243,1425999806901
85.11,-0.06%,4795794,1425999867444
85.07,-0.11%,4857505,1425999928123
85.07,-0.10%,4880614,1425999988800
85.06,-0.12%,4942297,1426000049341
84.99,-0.21%,4984889,1426000109879
84.95,-0.25%,5033930,1426000170426
84.96,-0.23%,5065173,1426000231185
84.98,-0.21%,5092305,1426000291852
84.93,-0.26%,5124306,1426000352403
84.98,-0.21%,5138684,1426000412948
85.03,-0.15%,5156767,1426000473495
85.07,-0.11%,5193347,1426000534169
85.05,-0.13%,5211028,1426000594848
85.00,-0.19%,5236951,1426000655398
85.03,-0.16%,5253369,1426000715951
85.01,-0.17%,5274624,1426000776490
85.03,-0.15%,5306925,1426000837166
84.99,-0.20%,5348864,1426000897854
84.99,-0.20%,5366935,1426000958406
85.02,-0.16%,5393041,1426001018946
85.00,-0.19%,5411946,1426001079491
84.96,-0.23%,5455142,1426001140171
85.04,-0.14%,5476730,1426001200865
85.04,-0.14%,5491212,1426001261452
